stride,portion,array_size,throughput
1,1,23529411,7961780921.710803
1,2,23529410,8969222871.67236
1,3,23529411,9260084629.216116
1,4,23529408,9263182575.422857
1,5,23529410,9251712179.970224
1,6,23529408,9263911952.84172
1,7,23529408,9266100731.497595
1,8,23529408,9264458492.36065
1,9,23529411,9264642080.778522
1,10,23529410,9263183039.99145
1,11,23529407,9264458493.565386
1,12,23529408,9265735809.255133
1,13,23529402,9266645733.689396
1,14,23529408,9260265998.977573
1,15,23529405,9266464328.319532
1,16,23529408,9266647952.908813
1,17,23529411,9261724678.896671
1,18,23529402,9261187849.217768
1,19,23529410,9260648287.971407
1,20,23529400,9266827424.814022
1,21,23529408,9253796408.55126
1,22,23529396,9268468051.8663
1,23,23529391,9268284250.65196
1,24,23529408,9259172955.126696
1,25,23529400,9267192203.02891
1,26,23529402,9264274440.868572
1,27,23529393,9267371889.036282
1,28,23529408,9266283749.144287
1,29,23529411,9264094966.97585
1,30,23529390,9264087165.730145
1,31,23529403,9263728330.786789
1,32,23529408,9259719387.16867
2,1,23529410,11792807901.88225
2,2,23529408,13100319942.361832
2,3,23529408,12985335573.751682
2,4,23529408,13076838416.884418
2,5,23529410,12922270503.377272
2,6,23529408,13098609230.80781
2,7,23529408,13018056757.544247
2,8,23529408,12932900523.002066
2,9,23529402,12687825665.531622
2,10,23529400,12951382633.39089
2,11,23529396,12810018283.202913
2,12,23529408,12751000128.677364
2,13,23529402,12431062241.753103
2,14,23529408,12554563768.293545
2,15,23529390,12984977337.082624
2,16,23529408,12587694518.66974
2,17,23529394,12580913063.86498
2,18,23529384,12397492628.527515
2,19,23529410,12361839275.142473
2,20,23529400,12605289979.08331
2,21,23529408,12269985436.792315
2,22,23529396,12481792951.048368
2,23,23529368,12667233867.679478
2,24,23529408,12200942063.760221
2,25,23529400,12244755126.409243
2,26,23529376,12470852588.387342
2,27,23529366,12828513022.439121
2,28,23529408,12320519089.778822
2,29,23529382,12840066067.006384
2,30,23529360,13061459701.725353
2,31,23529372,12868368188.949345
2,32,23529408,12533321139.963806
3,1,23529411,13449610382.210806
3,2,23529408,13843692498.10879
3,3,23529411,13724603979.562748
3,4,23529408,13845332313.227436
3,5,23529405,13820957374.644238
3,6,23529402,13836787246.76709
3,7,23529408,13782468531.41631
3,8,23529408,13709032322.698555
3,9,23529393,13766798278.064672
3,10,23529390,13563621586.006298
3,11,23529396,13489743942.608213
3,12,23529384,13480597427.744524
3,13,23529402,13141686841.025595
3,14,23529408,13045132161.904787
3,15,23529375,13104778375.44965
3,16,23529408,13505622409.225676
3,17,23529411,13077906221.425205
3,18,23529366,12935687286.87689
3,19,23529372,13044801988.446783
3,20,23529360,13183841354.447329
3,21,23529366,13318709794.725056
3,22,23529396,13217009457.783325
3,23,23529345,13424044530.455303
3,24,23529384,13501725303.94421
3,25,23529375,13457818355.63032
3,26,23529402,13133244664.19848
3,27,23529366,13208381295.799631
3,28,23529408,13123461350.386547
3,29,23529411,12986423386.953318
3,30,23529330,13092592035.178278
3,31,23529372,12904136240.584307
3,32,23529408,13069729896.699093
4,1,23529408,10814493957.28678
4,2,23529408,11616596764.53654
4,3,23529408,12693736790.596958
4,4,23529408,12329801755.940975
