stride,portion,array_size,throughput
1,1,23529411,5482347553.943408
1,2,23529410,8416474948.635384
1,3,23529411,9579601570.187489
1,4,23529408,9589949558.19757
1,5,23529410,9572798874.14553
1,6,23529408,9585859436.841316
1,7,23529408,9583710917.950365
1,8,23529408,9582927739.916296
1,9,23529411,9586839846.654285
1,10,23529410,9584871765.949198
1,11,23529407,9588777039.50442
1,12,23529408,9561159009.307615
1,13,23529402,9592289820.89057
1,14,23529408,9581581409.877249
1,15,23529405,9586241902.643932
1,16,23529408,9574544652.261728
1,17,23529411,9588387315.718739
1,18,23529402,9594048663.314676
1,19,23529410,9587995872.928328
1,20,23529400,9589357694.627401
1,21,23529408,9591706490.97261
1,22,23529396,9587012837.651
1,23,23529391,9580590986.219336
1,24,23529408,9585856376.159586
1,25,23529400,9588980880.86461
1,26,23529402,9584485856.625402
1,27,23529393,9586230383.220816
1,28,23529408,9586628324.636168
1,29,23529411,9591513012.590117
1,30,23529390,9594825880.138393
1,31,23529403,9587216431.556879
1,32,23529408,9579613384.13678
2,1,23529410,8475681495.746788
2,2,23529408,6477508086.243289
2,3,23529408,6497061887.01848
2,4,23529408,6480759405.59665
2,5,23529410,6474847983.182678
2,6,23529408,6459975795.614965
2,7,23529408,6327585557.929533
2,8,23529408,6517891659.008386
2,9,23529402,6478882228.250799
2,10,23529400,6485989413.524899
2,11,23529396,3074612530.7862
2,12,23529408,6491576973.58875
2,13,23529402,2736260738.347651
2,14,23529408,4158463188.317884
2,15,23529390,4101571572.630591
2,16,23529408,6512812969.137054
2,17,23529394,3253318842.028373
2,18,23529384,4935344330.776188
2,19,23529410,3366819221.680467
2,20,23529400,6489965935.926709
2,21,23529408,3901508982.183929
2,22,23529396,4014824958.638898
2,23,23529368,2650606126.953385
2,24,23529408,6477269112.841564
2,25,23529400,2848112579.375434
2,26,23529376,4280961960.03379
2,27,23529366,3692066460.24616
2,28,23529408,6472628893.013646
2,29,23529382,3187797008.588463
2,30,23529360,4017238144.892686
2,31,23529372,5290501877.792645
2,32,23529408,6522749189.291239
3,1,23529411,3950754271.852417
3,2,23529408,3937803267.030111
3,3,23529411,3955881367.582686
3,4,23529408,3923365574.662504
3,5,23529405,4006566978.362389
3,6,23529402,4070029328.804515
3,7,23529408,4051364538.061075
3,8,23529408,3935653326.245743
3,9,23529393,4063412352.278646
3,10,23529390,4111163216.115141
3,11,23529396,4091778098.145915
3,12,23529384,4093963434.881125
3,13,23529402,4086916581.611423
3,14,23529408,4085994432.775665
3,15,23529375,4094371415.680548
3,16,23529408,13172887458.099445
3,17,23529411,4059611972.387782
3,18,23529366,4087311279.442676
3,19,23529372,4072251339.211496
3,20,23529360,3929293180.303652
3,21,23529366,4058501001.498633
3,22,23529396,4062331239.43564
3,23,23529345,4101777999.700886
3,24,23529384,13266100576.504534
3,25,23529375,4092881088.046628
3,26,23529402,4088461756.59105
3,27,23529366,4079323016.482089
3,28,23529408,3804593926.094916
3,29,23529411,4074538701.44108
3,30,23529330,4067397336.925629
3,31,23529372,4108862958.914677
3,32,23529408,13092989476.535803
4,1,23529408,3810158937.432481
4,2,23529408,3791391400.866454
4,3,23529408,3931383186.800805
4,4,23529408,3721068500.50878
4,5,23529400,3946477762.442065
4,6,23529408,3924137119.953153
4,7,23529408,3977997901.627875
4,8,23529408,3738602182.47547
4,9,23529384,4007414744.92724
4,10,23529400,3932730815.465284
4,11,23529396,3997543713.740449
4,12,23529408,3837562207.283095
4,13,23529376,3959571239.612821
4,14,23529408,3962017474.623729
4,15,23529360,4034065155.045297
4,16,23529408,8581136591.482939
4,17,23529360,4003016436.1182
4,18,23529384,3971344800.605364
4,19,23529372,4031286629.409249
4,20,23529360,3851007590.720792
4,21,23529408,3980300421.846848
4,22,23529352,3990582775.170265
4,23,23529368,4025007197.282315
4,24,23529408,3584374457.678758
4,25,23529400,4005555924.155501
4,26,23529376,3908503393.275569
4,27,23529312,4017184764.923739
4,28,23529408,3839471945.07124
4,29,23529324,3967187145.122595
4,30,23529360,4019114792.409019
4,31,23529372,4017789992.311337
4,32,23529344,8432554543.833567
5,1,23529410,1977164506.901935
5,2,23529410,2150846268.86311
5,3,23529405,1963459088.815277
5,4,23529400,2229223515.235296
5,5,23529400,2027664073.82796
5,6,23529390,2183966816.338047
5,7,23529380,2090091277.566367
5,8,23529400,2130547881.426347
5,9,23529375,2074728931.485654
5,10,23529400,2223164857.445938
5,11,23529385,2113701647.984397
5,12,23529360,2191090575.663085
5,13,23529350,2132607792.680549
5,14,23529380,2329627485.594314
5,15,23529375,2015884452.21351
5,16,23529360,13978225997.307608
5,17,23529360,2062487060.322524
5,18,23529330,2049309546.517951
5,19,23529410,1955108386.791377
5,20,23529400,2194256753.950686
5,21,23529345,2015509731.147549
5,22,23529330,2054886609.511102
5,23,23529345,1994251465.637063
5,24,23529360,2195131743.966821
5,25,23529375,2015099300.577554
5,26,23529350,2113043513.78195
5,27,23529285,2042999037.491589
5,28,23529380,2226117646.832118
5,29,23529295,2061736563.351366
5,30,23529300,2103557582.42546
5,31,23529310,2050273575.196306
5,32,23529280,13171710211.28443
6,1,23529408,1834165635.860947
6,2,23529408,1995870190.070487
6,3,23529402,2025298088.227334
6,4,23529408,2329830902.452756
6,5,23529390,2084608725.719544
6,6,23529384,2139064789.178019
6,7,23529408,2161269086.837934
6,8,23529408,2292981476.189889
6,9,23529366,2103795133.115649
6,10,23529360,2195986293.104421
6,11,23529396,2104457765.46545
6,12,23529384,2396851529.465757
6,13,23529402,2071335357.27252
6,14,23529408,2098098329.559558
6,15,23529330,2043622448.78964
6,16,23529408,9831373376.898275
6,17,23529360,1889969796.427383
6,18,23529312,2055251760.818255
6,19,23529372,1937268701.253725
6,20,23529360,2141643812.376282
6,21,23529366,1943919593.557088
6,22,23529396,2053304357.401923
6,23,23529276,1951717555.722862
6,24,23529312,2116051230.905865
6,25,23529300,1996633827.979178
6,26,23529324,2078767476.163337
