stride,portion,array_size,throughput
1,1,23529408,14002719244.854458
1,2,23529408,13969196118.096003
1,3,23529408,13991894514.350458
1,4,23529408,13996040381.632956
1,5,23529400,13994371629.074884
1,6,23529408,13988542579.303604
1,7,23529408,13991879813.668402
1,8,23529408,13997288461.317541
1,9,23529384,13990630704.062185
1,10,23529400,13994365807.249054
1,11,23529396,13988969359.43133
1,12,23529408,14001449014.460276
1,13,23529376,13972051595.839752
1,14,23529408,13997284130.347752
1,15,23529360,13993921539.256296
1,16,23529408,13982344919.808157
1,17,23529360,13993924255.757757
1,18,23529384,13994350484.107136
1,19,23529372,13973619551.416489
1,20,23529360,13993101956.170135
1,21,23529408,13998529870.660181
1,22,23529352,13986037931.912312
1,23,23529368,13992684385.579193
1,24,23529408,13966652765.603628
1,25,23529400,13994780606.126957
1,26,23529376,13971106392.140427
1,27,23529312,13999725926.604334
1,28,23529408,13976147314.0439
1,29,23529324,13988503858.886112
1,30,23529360,13994761379.00921
1,31,23529372,13992691094.464773
1,32,23529344,13935082836.084812
2,1,23529408,12200595485.10394
2,2,23529408,12065533185.40499
2,3,23529408,12081270377.38027
2,4,23529408,12207242907.407719
2,5,23529400,12137665832.41109
2,6,23529408,12200901976.04192
2,7,23529408,12119906018.888683
2,8,23529408,12199330314.814953
2,9,23529384,12142341245.845724
2,10,23529360,12102433723.559114
2,11,23529352,12058620089.95166
2,12,23529408,12191417673.465143
2,13,23529376,12079431652.502022
2,14,23529408,12171864066.622717
2,15,23529360,12075637977.166225
2,16,23529344,12068930081.795494
2,17,23529360,12066674043.99968
2,18,23529312,11994679334.938166
2,19,23529296,11916371914.188602
2,20,23529280,11923849919.02584
2,21,23529408,12088084073.575218
2,22,23529264,11859294574.279718
2,23,23529368,12017706700.318039
2,24,23529408,12104550507.005133
2,25,23529400,12062469800.29963
2,26,23529376,12045983540.248623
2,27,23529312,11944757195.61565
2,28,23529408,12051323187.94792
2,29,23529208,11720101258.365047
2,30,23529360,11990756234.12475
2,31,23529248,11807758421.838682
2,32,23529216,11862819298.97433
3,1,23529408,11542245177.864634
3,2,23529408,11841890000.688236
3,3,23529384,11693076484.899822
3,4,23529408,11961874985.875143
3,5,23529360,12666115010.002192
3,6,23529384,11967915304.647219
3,7,23529408,12129321622.821833
3,8,23529408,12253071896.21554
3,9,23529312,12078485642.508402
3,10,23529360,12184460794.5892
3,11,23529396,12392858915.67148
3,12,23529312,12197874591.41357
3,13,23529324,12250571522.91148
3,14,23529408,12207946057.268448
3,15,23529240,12249154611.961424
3,16,23529408,12358318580.91811
3,17,23529360,12236759075.376263
3,18,23529312,12700296679.53087
3,19,23529372,12314303609.767124
3,20,23529360,12274081218.351934
3,21,23529240,12402425652.599092
3,22,23529264,12299132970.582083
3,23,23529276,12304829118.640148
3,24,23529312,12346922426.823355
3,25,23529300,12256100163.430355
3,26,23529168,12357200953.15271
3,27,23529204,12407068806.22694
3,28,23529408,12339299419.194683
3,29,23529324,12194591265.192003
3,30,23529240,12330377594.918886
3,31,23529372,12316176870.362202
3,32,23529216,12448767043.650396
4,1,23529408,9547542444.11775
4,2,23529408,10064569999.343166
4,3,23529408,10201582208.356827
4,4,23529408,10086145484.793314
4,5,23529360,10218543560.828375
4,6,23529408,10215326713.27454
4,7,23529408,10227101508.151001
4,8,23529344,10152253460.144037
4,9,23529312,10181464618.053875
4,10,23529280,10137175274.085344
4,11,23529264,10146972633.480392
4,12,23529408,10299912429.492193
4,13,23529376,10374057727.19403
4,14,23529408,10468009173.629154
4,15,23529360,10574050649.928514
4,16,23529216,10495682000.80756
4,17,23529360,10688851213.636417
4,18,23529312,10740070335.515427
4,19,23529296,10729289937.219013
4,20,23529280,10800436396.558926
4,21,23529408,10998908887.972254
4,22,23529088,10607055519.697813
4,23,23529184,10782825754.823925
4,24,23529216,10916406072.853222
4,25,23529200,10843954244.895908
4,26,23529376,11018755924.057013
4,27,23529312,11029311473.317892
4,28,23529408,11191740277.530416
4,29,23528976,10778531924.902126
4,30,23529120,10895895064.206987
4,31,23529248,11023065893.671598
4,32,23528960,10958233498.300434
5,1,23529400,10760768917.37521
5,2,23529400,10975117786.257126
5,3,23529360,11185555849.03687
5,4,23529360,10919016218.7886
5,5,23529400,11242507042.594248
5,6,23529360,11113965561.110985
5,7,23529380,11202070437.004852
5,8,23529280,11091751445.999613
5,9,23529240,11177831655.485416
5,10,23529400,11250330578.208918
5,11,23529220,11292057599.101269
5,12,23529360,11243327095.705614
5,13,23529220,11306964903.547533
5,14,23529240,11267477972.0901
5,15,23529300,11310261835.098837
5,16,23529280,11332076945.160664
5,17,23529360,11408183736.673063
5,18,23529240,11361061383.549099
5,19,23529220,11419483426.127918
5,20,23529200,11385478938.037136
5,21,23529240,11475750074.652617
5,22,23529000,11300612411.175022
5,23,23529000,11345308822.883911
5,24,23529120,11386043914.012869
5,25,23529000,11349422851.162136
5,26,23528960,11298710690.05436
5,27,23528880,11251458163.754679
5,28,23528960,11268712828.981684
5,29,23528860,11286791196.374609
5,30,23529000,11309585401.511389
5,31,23529000,11339285073.979082
5,32,23528960,11312662003.456045
6,1,23529408,10039457277.830667
6,2,23529408,9981318641.254797
6,3,23529384,9908165229.349728
6,4,23529408,9778687943.46352
6,5,23529360,9826628966.8363
6,6,23529312,9831977461.218828
6,7,23529408,10093064680.845367
6,8,23529408,10112149008.70789
6,9,23529312,10123188093.422955
6,10,23529360,10362623217.07257
6,11,23529264,10394626665.069227
6,12,23529312,10530961855.384624
6,13,23529168,10492883594.277208
6,14,23529408,10922582424.965906
6,15,23529240,10846247582.772272
6,16,23529216,10950716829.859676
6,17,23529360,11114249494.941675
6,18,23529312,11120549195.415949
6,19,23529144,11043180849.839497
6,20,23529120,10878526313.798761
6,21,23529240,11113922072.837988
6,22,23529264,10992161413.38686
6,23,23529000,10825944469.841955
6,24,23529024,10920877212.930786
6,25,23529000,10935080633.315762
6,26,23529168,11042413124.45392
6,27,23528880,10931751519.990704
6,28,23529408,11292134044.60676
6,29,23528976,11099900003.951797
6,30,23528880,11081545008.349674
6,31,23529000,11188321685.804893
6,32,23529216,11462292955.644535
7,1,23529408,11329419248.345783
7,2,23529408,11566363500.934162
7,3,23529408,11610600653.747608
7,4,23529408,11261596913.339067
7,5,23529380,11465166983.920826
7,6,23529408,11421655290.92964
7,7,23529408,11635076777.344826
7,8,23529408,11538030341.40461
7,9,23529240,11515041508.626665
7,10,23529240,11556329331.470324
7,11,23529352,11754112738.638393
7,12,23529408,11780624681.233234
7,13,23529324,11755559176.620565
7,14,23529408,11875750833.63184
7,15,23529240,11724761758.065876
7,16,23529408,11919119932.578257
7,17,23529156,11622862321.668203
7,18,23529240,11701739156.861576
7,19,23529296,11691057095.32105
7,20,23528960,11632176133.603882
7,21,23529408,11906701845.78039
7,22,23529352,11702691910.682074
7,23,23529184,11717470968.98038
7,24,23529408,11861684381.940922
7,25,23529100,11663373601.304249
7,26,23528960,11722327877.805902
7,27,23528988,11778348487.217695
7,28,23529408,11976714843.01678
7,29,23529324,11846137032.731747
7,30,23529240,11858302261.20843
7,31,23528876,11925436456.084873
7,32,23528960,11924928500.549828
8,1,23529408,10532903018.891594
8,2,23529408,10591211560.68004
8,3,23529408,10722976124.84583
8,4,23529344,10267672826.034868
8,5,23529280,10432666985.292404
8,6,23529408,10717153728.26526
8,7,23529408,10934263959.805634
8,8,23529216,10520118813.6791
8,9,23529312,10863392294.03688
8,10,23529280,10892192191.713175
8,11,23529088,10688000123.157757
8,12,23529216,10985467595.863052
8,13,23529376,11358905915.55272
8,14,23529408,11515726864.332113
8,15,23529120,11119104675.19042
8,16,23528960,11090199873.79842
8,17,23529088,11195801393.911379
8,18,23529024,11202189961.548416
8,19,23528992,11191231387.918156
8,20,23528960,11240413515.375858
8,21,23529408,11855700957.327457
8,22,23529088,11383207645.498762
8,23,23529184,11554882890.20508
8,24,23529216,11615070278.523617
8,25,23528800,11365755760.739902
8,26,23528960,11403626836.17181
8,27,23529312,11748897027.039497
8,28,23528960,11510111079.631207
8,29,23528512,11423850751.205744
8,30,23528640,11463214246.446918
8,31,23529248,11783614141.9719
8,32,23528448,11629375745.524921
9,1,23529384,9925543577.75172
9,2,23529384,9905670604.37461
9,3,23529312,10279303148.543978
9,4,23529312,9989134882.942066
9,5,23529240,10202835959.298601
9,6,23529312,10335293868.106121
9,7,23529240,10548399285.665821
9,8,23529312,10645848350.575605
9,9,23529204,10925272189.794672
9,10,23529240,10983963192.091259
9,11,23529132,11204403910.139322
9,12,23529312,11191165462.29014
9,13,23529168,11349206622.689054
9,14,23529240,11313225329.41694
9,15,23528880,11558130870.483795
9,16,23529024,11537023072.016039
9,17,23528952,11597191483.921936
9,18,23528880,11739510902.25343
9,19,23528916,11757997973.047836
9,20,23528880,11829506898.404133
9,21,23528988,11780698727.035551
9,22,23528736,11902154508.67086
9,23,23529276,11669826805.223482
9,24,23529312,11645583038.09543
9,25,23528700,12041308501.621166
9,26,23529168,11699111315.538197
9,27,23529204,11738199028.25451
9,28,23528736,12083696497.208393
9,29,23528628,12105851165.971516
9,30,23528880,11953398905.183413
9,31,23528628,12202096751.201012
9,32,23528448,12265746227.515318
10,1,23529400,10328959774.798626
10,2,23529360,10189625888.7047
10,3,23529360,10334454274.922009
10,4,23529280,9912144769.651266
10,5,23529400,10442466659.231253
10,6,23529360,10475424093.751146
10,7,23529240,10417436027.765747
10,8,23529280,10678933209.25463
10,9,23529240,10781383527.91711
10,10,23529200,10921727211.925333
10,11,23529000,10516491303.253279
10,12,23529120,10942508560.873358
10,13,23528960,10840601961.896984
10,14,23528960,10956710624.265398
10,15,23529000,11060589298.291677
10,16,23528960,11162279560.421926
10,17,23529360,11541414428.46218
10,18,23528880,11175499002.369246
10,19,23528840,11296743845.149002
10,20,23528800,11306531080.913012
10,21,23529240,11594769780.28224
10,22,23528560,11202215852.858166
10,23,23529000,10868691963.501673
10,24,23528640,11381916158.730558
10,25,23529000,11185647966.957716
10,26,23528960,11061564269.139769
10,27,23528880,10847671572.723644
10,28,23528960,11108276807.471685
10,29,23528280,11299451547.181675
10,30,23528400,11404684276.136902
10,31,23529000,11220877199.47214
10,32,23528960,11782156774.149567
11,1,23529396,9980027717.019344
11,2,23529352,9867839222.69859
11,3,23529396,10152944740.974606
11,4,23529264,9579747233.7001
11,5,23529220,9990710954.58596
11,6,23529264,10105404623.890438
11,7,23529352,10406849723.1977
11,8,23529088,10371645827.907244
11,9,23529132,10705325384.006193
11,10,23529000,10706506584.925219
11,11,23529176,10938970794.284119
11,12,23529264,10896718724.479656
11,13,23529220,11036225761.551579
11,14,23529352,11160875004.892963
11,15,23529000,11160233972.690434
11,16,23529088,11271162446.779896
11,17,23529088,11289003458.57901
11,18,23528736,11307590824.796078
11,19,23529220,11486931634.261635
11,20,23528560,11416960729.297644
11,21,23528736,11451738776.939947
11,22,23529176,11339656789.007101
11,23,23529000,11525100098.959965
11,24,23528736,11467721815.10705
11,25,23529000,11527896929.630894
11,26,23528648,11547240175.94141
11,27,23528340,11551634634.733242
11,28,23528736,11545876145.808838
11,29,23528164,11358867790.61034
11,30,23529000,11672299999.85751
11,31,23529000,11743364991.308256
11,32,23529088,11814168892.6609
12,1,23529408,10759089616.215778
12,2,23529408,10654860974.129559
12,3,23529312,10393997857.824085
12,4,23529408,10101294948.845356
12,5,23529360,10443359864.30509
12,6,23529312,10579728758.488344
12,7,23529408,11184789695.194622
12,8,23529216,10901990525.643124
12,9,23529312,11136954076.020996
12,10,23529120,11076441787.783203
12,11,23529264,11268537560.984104
12,12,23529024,11032249116.105661
12,13,23529168,11311015303.045977
12,14,23529408,11561577005.421864
12,15,23528880,11206377587.44611
12,16,23529216,11621665149.224966
12,17,23529360,11374308312.354254
12,18,23529312,11424534709.342121
12,19,23528688,10834227295.27944
12,20,23528640,10562814060.27245
12,21,23528736,10747478759.343304
12,22,23528736,10828283266.81669
12,23,23528448,10518356663.254795
12,24,23528448,10613992952.377148
12,25,23528400,10007211842.041473
12,26,23528544,10319769425.464737
12,27,23528880,10432332948.15543
12,28,23529408,10802769454.984562
12,29,23528976,10300224443.864048
12,30,23528160,10152390617.329731
12,31,23528256,10526014489.370022
12,32,23528448,11842982621.563923
13,1,23529376,9674164472.149837
13,2,23529376,9623077334.909536
13,3,23529324,9413831344.020483
13,4,23529376,9256948377.860184
13,5,23529220,9478429331.359213
13,6,23529168,9684185052.843744
13,7,23529324,10071842308.208172
13,8,23529376,10206663230.571615
13,9,23529168,10348878492.160027
13,10,23528960,9873095529.60706
13,11,23529220,10426488854.200008
13,12,23529168,10443265953.311686
13,13,23528856,9991508348.792557
13,14,23528960,9995318995.458874
13,15,23528700,10007348808.216698
13,16,23528960,11133256336.093689
13,17,23528544,9825262427.323593
13,18,23529168,9972120098.16266
13,19,23529220,9925683260.252064
13,20,23528960,9866648352.266506
13,21,23529324,9882148681.813623
13,22,23528648,10039751537.109808
13,23,23528908,10281616385.353535
13,24,23528544,9973233872.879581
13,25,23528700,10030354952.137861
13,26,23528856,10176406702.271048
13,27,23528232,9988863533.525858
13,28,23528960,10017655708.912771
13,29,23529324,10354401695.82304
13,30,23527920,10086702091.8198
13,31,23528752,10728550286.333801
13,32,23528960,11750674395.149689
14,1,23529408,10756056543.747017
14,2,23529408,10829493228.440578
14,3,23529408,10351501708.97357
14,4,23529408,10613262280.482859
14,5,23529240,10299977400.9272
14,6,23529408,10387593142.969784
14,7,23529408,10647310631.875767
14,8,23529408,11264076421.341951
14,9,23529240,10471194191.50209
14,10,23528960,9625905348.069574
14,11,23529352,9637885305.877604
14,12,23529408,9572529824.96063
14,13,23528960,9899437146.9184
14,14,23529408,9962722639.634632
14,15,23529240,9741158734.976414
14,16,23528960,11671113192.415516
14,17,23528680,9810742494.466022
14,18,23528736,10105793378.487146
14,19,23529296,9957809499.234201
14,20,23528960,10010419360.821762
14,21,23529408,10052084913.191645
14,22,23528736,10568781582.716312
14,23,23529184,10392076897.644028
14,24,23529408,10151432913.553532
14,25,23528400,10158421864.842056
14,26,23528960,10408081373.291143
14,27,23528232,10368758447.083107
14,28,23529408,10781217518.947607
14,29,23528512,10967218659.719994
14,30,23528400,10978200182.078373
14,31,23528008,10948417145.425137
14,32,23528960,12107772862.64525
15,1,23529360,9800504206.565825
15,2,23529360,10316505069.175503
15,3,23529240,10578041264.976254
15,4,23529360,10396976849.503677
15,5,23529300,10306772285.110973
15,6,23529240,10216346332.457592
15,7,23529240,9728890905.124998
15,8,23529120,10343171415.115257
15,9,23528880,7977667847.501963
15,10,23529000,7918639096.47554
15,11,23529000,8694650498.780437
15,12,23528880,6958888635.348711
15,13,23528700,9413033165.101706
15,14,23529240,9795728098.913622
15,15,23528700,9697174438.52675
15,16,23528640,11203483344.671513
15,17,23529360,9775188573.220884
15,18,23528880,9991274707.092365
15,19,23528460,10253638782.668615
15,20,23528400,10108230189.042406
15,21,23529240,10176137398.077824
15,22,23529000,10414062778.199091
15,23,23529000,10710854232.228601
15,24,23528160,10768288861.89805
15,25,23529000,10648304413.54656
15,26,23527920,10548057940.857265
15,27,23528880,10960779825.713497
15,28,23528400,11155147793.540413
15,29,23528280,11240386869.459713
15,30,23527800,10999971095.415129
15,31,23529000,11549809780.371992
15,32,23527680,11992912059.36532
16,1,23529408,10583644330.20213
16,2,23529344,10647505788.402264
16,3,23529408,11563239374.430664
16,4,23529216,10519445363.073528
16,5,23529280,10678628374.199951
16,6,23529216,8752639699.416992
16,7,23529408,8079603558.286224
16,8,23528960,8612713496.801746
16,9,23529024,6965080528.057158
16,10,23528960,6561710646.734076
16,11,23529088,8562755644.2854
16,12,23529216,6194039060.476539
16,13,23528960,9473755702.537693
16,14,23528960,9953901891.224855
16,15,23528640,9852473782.637665
16,16,23528448,9693931577.208279
16,17,23529088,9932922496.869188
16,18,23528448,10436972566.421968
16,19,23528384,10869916084.71635
16,20,23528960,10509636520.067652
16,21,23529408,10571297405.787312
16,22,23529088,10848659126.092377
16,23,23528448,11228109384.160185
16,24,23528448,11388151982.254747
16,25,23528000,11249889113.024895
16,26,23528960,11055824951.984537
16,27,23528448,11204037844.310715
16,28,23528960,11242552080.331219
16,29,23528512,11458626928.33042
16,30,23527680,10423869091.446125
16,31,23528256,11744184972.124687
16,32,23527424,10888552818.643852
17,1,23529360,10607415534.149164
17,2,23529360,10935006853.655262
17,3,23529360,11237400500.193693
17,4,23529360,10449893971.432552
17,5,23529360,8336243802.624472
17,6,23529360,7107823507.104622
17,7,23529156,6996285862.711581
17,8,23529088,5126343602.505896
17,9,23528952,6536377389.932591
17,10,23529360,6344741410.992547
17,11,23529088,8437010720.528349
17,12,23529360,6121150641.737956
17,13,23528544,9179371412.515814
17,14,23528680,9693600207.934149
17,15,23529360,9855856651.55816
17,16,23529088,10249698294.799318
17,17,23529224,10030592506.696974
17,18,23528952,10190584886.33658
17,19,23528612,10366949916.66604
17,20,23529360,10673094105.127565
17,21,23529156,10650814967.227337
17,22,23529088,10747814588.47807
17,23,23528816,10806961234.600239
17,24,23528544,10961865345.55922
17,25,23528000,10506412168.683413
17,26,23528544,10707208195.422949
17,27,23528340,10760756338.256073
17,28,23527728,10899556734.66569
17,29,23527932,11030188068.027592
17,30,23529360,11307043018.401882
17,31,23527388,11115656143.81496
17,32,23529088,11261637429.699028
18,1,23529384,11340606266.427338
18,2,23529312,11073415898.019178
18,3,23529312,10695386408.805481
18,4,23529312,8311165217.809196
18,5,23529240,7786003398.20802
18,6,23529312,6452311421.790814
18,7,23529240,6692429932.895458
18,8,23529024,5128217193.768118
18,9,23528880,6606651297.590843
18,10,23528880,6399839335.138621
18,11,23528736,8808152513.346281
18,12,23529312,6103367840.522993
18,13,23529168,9603943777.25474
18,14,23528736,10217288776.767971
18,15,23528880,10159294111.976202
18,16,23528448,9931629117.071838
18,17,23528952,10336282733.75216
18,18,23528880,10706643733.086836
18,19,23528232,10715120161.57156
18,20,23528160,10752324725.046505
18,21,23528232,10805415402.675419
18,22,23528736,11186896179.942486
18,23,23528448,10958514366.503916
18,24,23528448,10860197723.091326
18,25,23527800,10890017422.625109
18,26,23529168,11046351724.810873
18,27,23528232,11143976753.05531
18,28,23528736,11279099444.410679
18,29,23527584,11335651957.416792
18,30,23528880,11476122212.868496
18,31,23527512,11487778194.245975
18,32,23528448,10554204631.857044
19,1,23529372,10301610550.518524
19,2,23529296,9911063529.006166
19,3,23529372,10008676733.631973
19,4,23529296,7452000716.370941
19,5,23529220,7173765742.838575
19,6,23529144,6316128622.131579
19,7,23529296,6322616734.764739
19,8,23528992,5124693226.756529
19,9,23528916,6473504505.175165
19,10,23528840,6393881248.191743
19,11,23529220,8706151821.500769
19,12,23528688,6009878677.256528
19,13,23529220,9727446739.803125
19,14,23529296,10020389392.703426
19,15,23528460,9929309722.791973
19,16,23528384,10436446422.96761
19,17,23528612,10226980805.831146
19,18,23528232,10417651853.684183
19,19,23528536,10741687090.572584
19,20,23528080,10549766194.32013
19,21,23528232,10537828458.330555
19,22,23528384,10767663588.89116
19,23,23528080,10853941361.000034
19,24,23527776,11192519252.676567
19,25,23527700,10686159183.861563
19,26,23528232,10816855311.66955
19,27,23528232,10962261134.936045
19,28,23529296,11218604968.943089
19,29,23527700,11060183668.468063
19,30,23527320,10969735492.193962
19,31,23529372,11621473490.265268
19,32,23527168,10224997140.725853
20,1,23529360,9659619081.034372
20,2,23529280,8690307888.84867
20,3,23529360,9100706150.12421
20,4,23529280,7410472238.982214
20,5,23529200,6960998711.712378
20,6,23529120,6357335529.703616
20,7,23528960,6341277541.861124
20,8,23528960,5116662035.339909
20,9,23528880,6515195317.117639
20,10,23528800,6279631568.117534
20,11,23528560,8716062080.562525
20,12,23528640,5992371715.566614
20,13,23528960,9731377391.662952
20,14,23528960,10217104538.402895
20,15,23528400,9936851701.912884
20,16,23528960,11150648204.856714
20,17,23529360,10389853455.33101
20,18,23528160,10508359614.809137
20,19,23528080,10889867727.186161
20,20,23528000,10905480721.686348
20,21,23528400,10677260656.970875
20,22,23527680,10902051320.119642
20,23,23528080,11140467539.204668
20,24,23527680,11411830991.339418
20,25,23528000,10918150120.078106
20,26,23528960,11019940788.228668
20,27,23528880,11196538010.118452
20,28,23528960,11292235569.51445
20,29,23527120,11381992365.673168
20,30,23527200,11518864139.49325
20,31,23527760,11678344935.527653
20,32,23528960,12018835069.14926
1,1,23537180,13994418556.380245
1,2,23537176,13998574618.80219
1,3,23537172,13984876258.623386
1,4,23537168,13991500596.777735
1,5,23537180,13970402867.750753
1,6,23537160,13988577854.60376
1,7,23537164,13971564455.122196
1,8,23537152,13986933357.974323
1,9,23537160,13978214179.05933
1,10,23537160,13996913422.26383
1,11,23537140,14003132897.384018
1,12,23537136,13992308096.139187
1,13,23537176,13996490828.162533
1,14,23537136,13997723314.640549
1,15,23537160,13986098513.028757
1,16,23537152,13998555278.78765
1,17,23537180,13996499252.193735
1,18,23537160,13993993576.660711
1,19,23537124,14001869440.341257
1,20,23537120,13993556474.501068
1,21,23537136,13996052097.515472
1,22,23537096,13988969573.881138
1,23,23537096,13954652320.553991
1,24,23537088,13996865522.706482
1,25,23537100,13987306524.81936
1,26,23537176,13995250110.082584
1,27,23537088,13996455530.820755
1,28,23537136,13995228668.881445
1,29,23537096,13996025965.09962
1,30,23537160,13996909221.262655
1,31,23537060,13964934168.543005
1,32,23537152,13998151837.370474
2,1,23537176,13662990816.710272
2,2,23537168,13656645276.93162
2,3,23537160,13655431488.618883
2,4,23537152,13842147324.502506
2,5,23537160,13574307701.972654
2,6,23537136,13723908829.112688
2,7,23537136,13660770501.70864
2,8,23537152,13842973135.088192
2,9,23537160,13628559483.090435
2,10,23537120,13708586249.86324
2,11,23537096,13726272976.917368
2,12,23537088,13718268145.134365
2,13,23537176,13662185030.853756
2,14,23537136,13687983988.407154
2,15,23537160,13692808229.953794
