stride,portion,array_size,throughput
1,1,23529408,14003525195.04601
1,2,23529408,13987713978.337555
1,3,23529408,13996031847.425556
1,4,23529408,13993540484.947577
1,5,23529400,13997695409.402664
1,6,23529408,13999361686.757269
1,7,23529408,13998531477.554321
1,8,23529408,13998533092.018894
1,9,23529384,13993936554.17016
1,10,23529400,13995192926.80625
1,11,23529396,13997684859.401907
1,12,23529408,13999778830.91187
1,13,23529376,13996846833.439106
1,14,23529408,14001448393.612324
1,15,23529360,14006835879.634533
1,16,23529408,13998110868.910572
1,17,23529360,13997668150.97403
1,18,23529384,14003112696.565165
1,19,23529372,13998087229.91927
1,20,23529360,13993097018.808498
1,21,23529408,14003529661.678717
1,22,23529352,14004327761.461185
1,23,23529368,13999342218.922527
1,24,23529408,14002282935.41164
1,25,23529400,13997276791.241093
1,26,23529376,14000177421.90508
1,27,23529312,13999730858.521963
1,28,23529408,13999775360.723194
1,29,23529324,14003064996.43363
1,30,23529360,14006827323.706207
1,31,23529372,14000172941.734726
1,32,23529344,14000989573.746677
2,1,23529408,12106135291.58561
2,2,23529408,12175952248.427942
2,3,23529408,12106132438.489763
2,4,23529408,12227886007.713634
2,5,23529400,12144529272.065907
2,6,23529408,12199389002.038559
2,7,23529408,12152415614.767527
2,8,23529408,12224031970.24725
2,9,23529384,12153643492.810638
2,10,23529360,12128565657.208597
2,11,23529352,12077817943.512514
2,12,23529408,12189539731.602686
2,13,23529376,12100170464.858303
2,14,23529408,12153007227.067799
2,15,23529360,12086184966.04838
2,16,23529344,12103890726.441286
2,17,23529360,12044734186.697636
2,18,23529312,12011208596.816053
2,19,23529296,11938691522.046276
2,20,23529280,11931708300.840534
2,21,23529408,12088403601.471691
2,22,23529264,11874775365.500126
2,23,23529368,12033368806.70857
2,24,23529408,12098338029.969202
2,25,23529400,12077544025.485867
2,26,23529376,12054318784.65696
2,27,23529312,11941729410.36376
2,28,23529408,12098046727.797367
2,29,23529208,11701783766.95464
2,30,23529360,12004183420.801966
2,31,23529248,11824067313.178854
2,32,23529216,11878969114.748074
3,1,23529408,11712782711.002455
3,2,23529408,11849330437.804108
3,3,23529384,11851465487.583658
3,4,23529408,11946659095.624876
3,5,23529360,11888369927.501083
3,6,23529384,12157139710.02306
3,7,23529408,12170057552.660635
3,8,23529408,12287375226.944134
3,9,23529312,12103315997.651798
3,10,23529360,12224715422.379894
3,11,23529396,12365862676.151636
3,12,23529312,12160570972.205914
3,13,23529324,12289818433.094671
3,14,23529408,12297889849.313463
3,15,23529240,12287880948.057999
3,16,23529408,12301466470.03838
3,17,23529360,12287560605.4209
3,18,23529312,12339060005.63284
3,19,23529372,12381382001.949398
3,20,23529360,12279255170.95486
3,21,23529240,12453032264.241722
3,22,23529264,12286582240.844845
3,23,23529276,12327433618.340698
3,24,23529312,12370358949.53097
3,25,23529300,12297184837.545095
3,26,23529168,12331529241.19846
3,27,23529204,12393683746.422522
3,28,23529408,12243793197.710562
3,29,23529324,12283985731.46948
3,30,23529240,12405692110.135342
3,31,23529372,12341749345.325333
3,32,23529216,12468184649.712116
4,1,23529408,10077502732.376392
4,2,23529408,10107574655.428547
4,3,23529408,10233967770.231503
4,4,23529408,10074688493.25529
4,5,23529360,10230160001.740671
4,6,23529408,10271972982.62973
4,7,23529408,10249155983.960619
4,8,23529344,10121684034.35503
4,9,23529312,10180571543.206654
4,10,23529280,10132984435.690025
4,11,23529264,10147838298.887745
4,12,23529408,10339421528.452663
4,13,23529376,10406639544.561771
4,14,23529408,10484573685.912317
4,15,23529360,10550843595.651867
4,16,23529216,10493196484.752314
4,17,23529360,10681086424.010748
4,18,23529312,10721483519.198666
4,19,23529296,10722195607.814487
4,20,23529280,10808137975.11938
4,21,23529408,10976084695.265322
4,22,23529088,10586304334.331863
4,23,23529184,10781838659.47593
4,24,23529216,10901253024.40444
4,25,23529200,10840959407.811949
4,26,23529376,11014864293.098713
4,27,23529312,11038601284.166752
4,28,23529408,11188501680.587383
4,29,23528976,10780504793.340256
4,30,23529120,10888841415.033325
4,31,23529248,11043489423.965769
4,32,23528960,10975872901.143827
5,1,23529400,11057350793.661152
5,2,23529400,11090948717.622166
5,3,23529360,11168883389.897493
5,4,23529360,10939839368.498648
5,5,23529400,11240612160.678925
5,6,23529360,11129747422.506212
5,7,23529380,11187691378.23438
5,8,23529280,11111043407.230196
5,9,23529240,11176997049.167515
5,10,23529400,11305426750.17273
5,11,23529220,11318148744.244123
5,12,23529360,11300245171.146763
5,13,23529220,11278516317.746262
5,14,23529240,11286361968.273317
5,15,23529300,11354298248.570541
5,16,23529280,11350661382.944788
5,17,23529360,11396851008.204395
5,18,23529240,11389644216.11815
