stride,portion,array_size,throughput
1,1,23529408,9112348218.589651
1,2,23529408,9065822594.150087
1,3,23529408,9081624038.301346
1,4,23529408,9149090373.293816
1,5,23529400,9078473525.752638
1,6,23529408,9091574142.57565
1,7,23529408,9078025379.243654
1,8,23529408,9094188338.887808
1,9,23529384,9032200808.991344
1,10,23529400,9135336441.118584
1,11,23529396,9116021849.043438
1,12,23529408,9037626419.459812
1,13,23529376,9076372279.037577
1,14,23529408,9151180195.390377
1,15,23529360,9089402354.250942
1,16,23529408,9131117589.000324
1,17,23529360,9097743367.825697
1,18,23529384,9123841201.180283
1,19,23529372,9153772231.897173
1,20,23529360,9137661433.57908
1,21,23529408,9099282626.777153
1,22,23529352,9136042243.964823
1,23,23529368,9045261799.910295
1,24,23529408,9077884833.234783
1,25,23529400,9099533447.661722
1,26,23529376,9096370803.556547
1,27,23529312,9084829240.065344
1,28,23529408,9109450921.431843
1,29,23529324,9120813075.318333
1,30,23529360,9092249627.188993
1,31,23529372,9125835761.587496
1,32,23529344,9144430601.445507
2,1,23529408,6398744748.038294
2,2,23529408,6499610802.527199
2,3,23529408,6455676187.043065
2,4,23529408,6462015466.535742
2,5,23529400,6454631048.734384
2,6,23529408,6410618508.665361
2,7,23529408,6451508792.179496
2,8,23529408,6472106812.189542
2,9,23529384,6486057699.448685
2,10,23529360,6419179272.066439
2,11,23529352,6446890267.513331
2,12,23529408,6429260339.770372
2,13,23529376,6445239331.302551
2,14,23529408,6474303621.933527
2,15,23529360,6432073794.62454
2,16,23529344,6433992597.263939
2,17,23529360,6434668886.886959
2,18,23529312,6380242712.070152
2,19,23529296,6373022222.33139
2,20,23529280,6355096794.345648
2,21,23529408,6448880587.865576
2,22,23529264,6347274606.943936
2,23,23529368,6427195725.734255
2,24,23529408,6465407696.625284
2,25,23529400,6427170773.451093
2,26,23529376,6428986623.189302
2,27,23529312,6364483474.887846
2,28,23529408,6399101911.909904
2,29,23529208,6281483739.505272
2,30,23529360,6410785046.141517
2,31,23529248,6341184910.466241
2,32,23529216,6322603311.498558
3,1,23529408,3885021446.445685
3,2,23529408,3942757502.050691
3,3,23529384,3930509076.792336
3,4,23529408,13236636666.377548
3,5,23529360,3824959671.423261
3,6,23529384,13115689725.262312
3,7,23529408,3689777296.991874
3,8,23529408,13225909143.998648
3,9,23529312,3531212730.132384
3,10,23529360,3227400762.398527
3,11,23529396,3479877310.620017
3,12,23529312,13146424687.89751
3,13,23529324,3494903174.670975
3,14,23529408,3427203895.101729
3,15,23529240,3425317251.591103
3,16,23529408,13197873297.459578
3,17,23529360,3498983338.984453
3,18,23529312,3731643664.271928
3,19,23529372,3247670529.701756
3,20,23529360,13225437115.218216
3,21,23529240,3293677388.339479
3,22,23529264,3911461843.738084
3,23,23529276,3280690405.333431
3,24,23529312,13229867446.8936
3,25,23529300,3315606252.895925
3,26,23529168,4059246557.688573
3,27,23529204,3530824632.629949
3,28,23529408,13248925022.872967
3,29,23529324,3557157360.730858
3,30,23529240,13214619930.2195
3,31,23529372,3588941552.418118
3,32,23529216,13301247651.418547
4,1,23529408,3722738763.125619
4,2,23529408,3689984739.671735
4,3,23529408,3743508929.802285
4,4,23529408,8558701866.63002
4,5,23529360,3765060172.722398
4,6,23529408,3650538734.524096
4,7,23529408,3784060933.929617
4,8,23529344,8457655363.819591
4,9,23529312,3756699632.417299
4,10,23529280,3366476170.731751
4,11,23529264,3780051355.926579
4,12,23529408,8496850410.557469
4,13,23529376,3763869056.407987
4,14,23529408,3545410012.850352
4,15,23529360,3753279555.273827
4,16,23529216,8128027036.828569
4,17,23529360,3739931482.634087
4,18,23529312,3524859972.417483
4,19,23529296,3597394312.317225
4,20,23529280,8214818881.762312
4,21,23529408,3728478247.341884
4,22,23529088,3780717523.724043
4,23,23529184,3552803831.254269
4,24,23529216,8125220350.239919
4,25,23529200,3515502177.727445
4,26,23529376,3586751436.491675
4,27,23529312,3581933049.722533
4,28,23529408,8489728555.447609
4,29,23528976,3517667648.711215
4,30,23529120,3743554972.957593
4,31,23529248,3643321849.171058
4,32,23528960,7837491697.073145
5,1,23529400,3288932630.77496
5,2,23529400,3022014037.139682
5,3,23529360,3236778857.176988
5,4,23529360,14049529110.490494
5,5,23529400,3325434169.442283
5,6,23529360,3097264999.19786
5,7,23529380,3417227884.261174
5,8,23529280,14082222834.545233
5,9,23529240,3434561810.337175
5,10,23529400,3368813490.607374
5,11,23529220,3396267086.323313
5,12,23529360,14078059382.149775
5,13,23529220,3812107383.690842
5,14,23529240,3488401916.961291
5,15,23529300,3735286111.183527
5,16,23529280,14060931192.593815
5,17,23529360,3740260147.457015
5,18,23529240,3671512144.119191
5,19,23529220,3713705931.221017
5,20,23529200,14026421535.712107
5,21,23529240,3682036304.297295
5,22,23529000,3607559438.230857
5,23,23529000,3588070694.939942
5,24,23529120,14077944448.004734
5,25,23529000,3514713739.68648
5,26,23528960,3930869814.162863
5,27,23528880,3588231539.367692
5,28,23528960,14028300307.536991
5,29,23528860,3493137160.522399
5,30,23529000,3273148678.343997
5,31,23529000,3531860123.839167
5,32,23528960,14109053257.90025
6,1,23529408,3134267558.967276
6,2,23529408,3085630764.528128
6,3,23529384,3256483144.56839
6,4,23529408,9777772444.281445
6,5,23529360,3207844702.002379
6,6,23529312,2956548748.43771
6,7,23529408,3050619566.314477
6,8,23529408,9844148935.705898
6,9,23529312,3211605179.514796
6,10,23529360,2937739130.861077
6,11,23529264,3029923509.698649
