stride,portion,array_size,throughput
1,1,23529408,9088978201.708857
1,2,23529408,9167238549.21926
1,3,23529408,9125375730.188732
1,4,23529408,9115709108.553633
1,5,23529400,9181687942.124523
1,6,23529408,9139086047.86785
1,7,23529408,9172302140.86866
1,8,23529408,9139131249.058697
1,9,23529384,9146204094.346817
1,10,23529400,9166921462.120426
1,11,23529396,9146749145.60516
1,12,23529408,9101775560.612886
1,13,23529376,9124155723.71289
1,14,23529408,9151711715.655506
1,15,23529360,9130706843.617386
1,16,23529408,9151201068.727642
1,17,23529360,9147290779.636997
1,18,23529384,9105980185.996822
1,19,23529372,9136946840.106455
1,20,23529360,9127537252.937319
1,21,23529408,9158436123.502844
1,22,23529352,9144259749.269337
1,23,23529368,9115020064.092558
1,24,23529408,9154292243.382307
1,25,23529400,9138921069.483051
1,26,23529376,9088917066.73632
1,27,23529312,9112488647.160328
1,28,23529408,9084616716.221493
1,29,23529324,9177581300.14789
1,30,23529360,9156933921.554855
1,31,23529372,9200965868.479177
1,32,23529344,9121504592.681034
2,1,23529408,6483922908.293949
2,2,23529408,6477135100.868382
2,3,23529408,6491614770.75299
2,4,23529408,6528914324.09336
2,5,23529400,6495937730.820144
2,6,23529408,6512802476.061398
2,7,23529408,6509824921.146106
2,8,23529408,6565063823.752584
2,9,23529384,6497029515.867832
2,10,23529360,6449596989.555117
2,11,23529352,6460522478.998756
2,12,23529408,6471724203.760966
2,13,23529376,6453939257.552204
2,14,23529408,6474539408.17642
2,15,23529360,6443087939.681582
2,16,23529344,6451056159.879924
2,17,23529360,6447499834.075867
2,18,23529312,6415848082.863667
2,19,23529296,6410061576.447775
2,20,23529280,6411709852.377439
2,21,23529408,6464241501.657583
2,22,23529264,6398565051.724682
2,23,23529368,6431435636.00688
2,24,23529408,6487546461.468018
2,25,23529400,6461129057.868114
2,26,23529376,6422969829.137539
2,27,23529312,6366860702.085193
2,28,23529408,6445451754.411466
2,29,23529208,6377906398.523817
2,30,23529360,6398489520.895144
2,31,23529248,6329003715.396482
2,32,23529216,6392089735.34994
3,1,23529408,3917058336.558215
3,2,23529408,3913202556.193707
3,3,23529384,3924416898.644676
3,4,23529408,13235502468.44303
3,5,23529360,3861546362.423322
3,6,23529384,13203550738.745998
3,7,23529408,3650896392.58038
3,8,23529408,13253773312.979044
3,9,23529312,3547419657.17333
3,10,23529360,3186274791.62275
3,11,23529396,3486045255.962317
3,12,23529312,13241048038.811344
3,13,23529324,3521354034.357465
3,14,23529408,3430919444.804783
3,15,23529240,3376030652.149449
3,16,23529408,13223232765.022648
3,17,23529360,3514100904.38598
3,18,23529312,3699520423.628567
3,19,23529372,3238467388.288876
3,20,23529360,13210581126.650295
3,21,23529240,3297501933.400752
3,22,23529264,3892871509.058326
3,23,23529276,3295118678.648883
3,24,23529312,13262677856.51894
3,25,23529300,3309420967.182174
3,26,23529168,4049251828.263465
3,27,23529204,3521546805.578725
3,28,23529408,13250048564.01073
3,29,23529324,3536942277.98157
3,30,23529240,13197926840.213295
3,31,23529372,3613208129.912656
3,32,23529216,13259275674.730627
4,1,23529408,3730327147.530539
4,2,23529408,3712464514.529902
4,3,23529408,3771412864.176702
4,4,23529408,8635461669.680462
4,5,23529360,3773857470.058053
4,6,23529408,3651512486.127814
4,7,23529408,3797745798.263976
4,8,23529344,8457775693.047157
4,9,23529312,3767147874.15241
4,10,23529280,3315431273.019551
4,11,23529264,3795303210.695649
4,12,23529408,8560540762.908882
4,13,23529376,3789266838.123032
4,14,23529408,3569580119.7642
4,15,23529360,3777608176.584104
4,16,23529216,8187912431.023885
4,17,23529360,3755087579.243253
4,18,23529312,3523805055.177767
4,19,23529296,3637042189.729131
4,20,23529280,8232360711.695877
4,21,23529408,3735693142.242876
4,22,23529088,3788782376.739461
4,23,23529184,3592106899.556169
4,24,23529216,8130266669.9241
4,25,23529200,3511428601.323686
4,26,23529376,3620936259.866857
4,27,23529312,3573035194.578855
4,28,23529408,8471893491.029576
4,29,23528976,3521407519.135215
4,30,23529120,3732767257.659133
4,31,23529248,3644368716.945636
4,32,23528960,7825052458.000849
5,1,23529400,3298882151.896649
5,2,23529400,3029813460.697238
5,3,23529360,3243836099.55774
5,4,23529360,14092814495.29011
5,5,23529400,3350177809.084041
5,6,23529360,3102548328.323259
5,7,23529380,3419757657.68826
5,8,23529280,14097412931.73814
5,9,23529240,3444186644.739142
5,10,23529400,3385871307.035863
5,11,23529220,3435881885.618719
5,12,23529360,14091970309.955877
5,13,23529220,3796580777.591093
5,14,23529240,3491971097.343705
5,15,23529300,3747630803.426065
5,16,23529280,14102483213.19624
5,17,23529360,3755183000.185213
5,18,23529240,3657301269.012842
5,19,23529220,3697937412.652905
5,20,23529200,14094827656.747799
5,21,23529240,3672602140.620807
5,22,23529000,3623972732.888454
5,23,23529000,3596307899.696921
5,24,23529120,14097315296.361017
5,25,23529000,3526610255.424132
5,26,23528960,3957008240.937875
5,27,23528880,3604414659.552142
5,28,23528960,14095530713.307873
5,29,23528860,3500408685.850147
5,30,23529000,3271962700.972416
5,31,23529000,3538488772.479967
5,32,23528960,14111591466.444021
6,1,23529408,3129937357.043369
6,2,23529408,3095211053.379032
6,3,23529384,3262907097.855146
6,4,23529408,9815988489.65981
6,5,23529360,3243686956.467116
6,6,23529312,2959012079.152381
6,7,23529408,3058826851.545694
6,8,23529408,9855707783.511105
6,9,23529312,3217378006.089076
6,10,23529360,2935944703.204009
6,11,23529264,3031048098.467406
6,12,23529312,9516427531.165676
6,13,23529168,3350686028.512674
6,14,23529408,3657897179.002248
6,15,23529240,3655171465.504708
6,16,23529216,9283065639.724499
6,17,23529360,3687496695.120919
6,18,23529312,3737963617.506045
6,19,23529144,3626993689.945467
6,20,23529120,8951040695.85219
6,21,23529240,3637005877.998913
6,22,23529264,3538235849.714905
6,23,23529000,3510089846.814675
6,24,23529024,8945781367.869808
6,25,23529000,3489555786.205411
6,26,23529168,3467567295.697927
6,27,23528880,3408032458.8283
6,28,23529408,10019783870.451265
6,29,23528976,3408812819.373039
6,30,23528880,3525508829.161969
6,31,23529000,3515570712.315025
6,32,23529216,9717307663.738905
7,1,23529408,3087348513.386267
7,2,23529408,3068224043.905096
7,3,23529408,3196766821.278155
7,4,23529408,13849047796.49494
7,5,23529380,3204060687.247541
7,6,23529408,3004842115.10601
7,7,23529408,3054696752.306687
7,8,23529408,13847420232.647827
7,9,23529240,3251497939.838004
7,10,23529240,2747476146.748234
7,11,23529352,3103897901.457304
7,12,23529408,13885754300.79804
7,13,23529324,3568058161.827567
7,14,23529408,3721893277.262236
7,15,23529240,3750022155.733537
7,16,23529408,13864482967.550028
7,17,23529156,3723993412.421871
7,18,23529240,3639182295.109934
7,19,23529296,3737718810.239784
7,20,23528960,14122603576.046032
7,21,23529408,3731159367.02175
7,22,23529352,3551227084.233479
7,23,23529184,3621185302.353633
7,24,23529408,13974823399.725254
7,25,23529100,3546595009.898103
7,26,23528960,4021051211.329618
7,27,23528988,3257151792.407269
7,28,23529408,13989362767.632248
7,29,23529324,3235050026.361204
7,30,23529240,3098950535.119222
7,31,23528876,3577260237.382087
7,32,23528960,14142126379.153015
8,1,23529408,3174336617.518815
8,2,23529408,3153642213.556227
8,3,23529408,3235314140.68854
8,4,23529344,10373846716.957312
8,5,23529280,3151109312.282807
8,6,23529408,3075945621.654559
8,7,23529408,3250745508.556125
8,8,23529216,9868194129.688557
8,9,23529312,3209657227.854234
8,10,23529280,2741799373.097524
8,11,23529088,3193527657.694649
8,12,23529216,9937801713.26585
8,13,23529376,3825949459.294543
8,14,23529408,3270884655.79914
8,15,23529120,3684949745.865514
8,16,23528960,9260819835.3547
8,17,23529088,3641797882.334771
8,18,23529024,3546894723.384999
8,19,23528992,3624317540.061601
8,20,23528960,9487171690.089096
8,21,23529408,3674524028.22448
8,22,23529088,3800502072.827162
8,23,23529184,3498765881.008678
8,24,23529216,10322404247.74481
8,25,23528800,3325300184.125264
8,26,23528960,3911682771.081203
8,27,23529312,3218742411.24424
8,28,23528960,9514573711.72006
8,29,23528512,3206312808.233601
8,30,23528640,3289295589.668789
8,31,23529248,3529477994.843511
8,32,23528448,8396161868.801842
9,1,23529384,3004093912.824393
9,2,23529384,3004885476.444224
9,3,23529312,3079857721.91898
9,4,23529312,10219929692.264671
9,5,23529240,3090147173.85364
9,6,23529312,3004931211.98687
9,7,23529240,3217228410.375754
9,8,23529312,10229471538.642794
9,9,23529204,3212740203.710677
9,10,23529240,2736470695.489767
9,11,23529132,3089232924.810737
9,12,23529312,10422500740.545055
9,13,23529168,3421480674.971126
9,14,23529240,3111203446.145995
9,15,23528880,3660943750.169372
9,16,23529024,11519163373.879852
9,17,23528952,3645360241.520528
9,18,23528880,3826799098.232741
9,19,23528916,3670834371.178984
9,20,23528880,12096492656.952944
9,21,23528988,3659280892.243169
9,22,23528736,3914215852.544734
9,23,23529276,3573627013.202245
9,24,23529312,10982714602.62025
9,25,23528700,3414585802.889327
9,26,23529168,4091034545.094598
9,27,23529204,3222387471.973732
9,28,23528736,12696236673.387636
9,29,23528628,3164472300.103502
9,30,23528880,4229607148.752397
9,31,23528628,3526078727.463075
9,32,23528448,13678552714.695623
10,1,23529400,3087769645.459191
10,2,23529360,3045579945.826762
10,3,23529360,3113552494.687064
10,4,23529280,10474455610.294947
10,5,23529400,3147984757.72845
10,6,23529360,3071603395.411471
10,7,23529240,3223900582.516945
10,8,23529280,10486140681.55215
10,9,23529240,3212166994.764455
10,10,23529200,2735985483.957556
10,11,23529000,3063711970.420888
10,12,23529120,9888263069.529505
10,13,23528960,3287040792.863557
10,14,23528960,3615837598.020976
10,15,23529000,3640942038.547082
10,16,23528960,9888425247.69484
10,17,23529360,3603106523.715588
10,18,23528880,3476284561.175593
10,19,23528840,3542944445.188141
10,20,23528800,9497216461.84026
10,21,23529240,3584674220.76077
10,22,23528560,3424354354.568444
10,23,23529000,3486579979.22125
10,24,23528640,9069587499.360256
10,25,23529000,3480599145.685175
10,26,23528960,3903149425.102803
10,27,23528880,3225744515.012297
10,28,23528960,9895192389.09247
10,29,23528280,3341636408.03341
10,30,23528400,3340823206.401789
10,31,23529000,3481189273.358376
10,32,23528960,9949096066.95527
11,1,23529396,2999883941.897965
11,2,23529352,2968518617.681191
11,3,23529396,3041512659.489314
11,4,23529264,9502464834.506092
11,5,23529220,3085445520.474212
11,6,23529264,3015879916.746694
11,7,23529352,3245593490.020122
11,8,23529088,9246322133.000202
11,9,23529132,3221484948.392878
11,10,23529000,2718528954.952445
11,11,23529176,3088224382.809772
11,12,23529264,9707796887.495256
11,13,23529220,3528229973.571192
11,14,23529352,3098844594.336888
11,15,23529000,3688976796.600751
11,16,23529088,9907027367.686892
11,17,23529088,3642136588.949728
11,18,23528736,3855906492.855435
11,19,23529220,3704200112.490031
11,20,23528560,10294798424.215155
11,21,23528736,3711631542.0029
11,22,23529176,3437552388.536607
11,23,23529000,3591450665.948492
11,24,23528736,10123608290.951609
11,25,23529000,3359488586.172482
11,26,23528648,3261889115.865519
11,27,23528340,3197072449.133122
11,28,23528736,10267616684.103956
11,29,23528164,3355587024.007829
11,30,23529000,3081772849.42446
11,31,23529000,3458705144.253423
11,32,23529088,10168152987.61018
12,1,23529408,3060001492.613732
12,2,23529408,3040232110.271987
12,3,23529312,3065456637.350251
12,4,23529408,11499991614.508842
12,5,23529360,3153636750.51631
12,6,23529312,3094196825.785252
12,7,23529408,3058309572.908052
12,8,23529216,10429632291.13053
12,9,23529312,3271695096.986263
12,10,23529120,2732830140.945682
12,11,23529264,3096751151.671951
12,12,23529024,10040130461.57542
12,13,23529168,3536655575.579555
12,14,23529408,3769731949.353136
12,15,23528880,3681107528.093929
12,16,23529216,11074458527.452982
12,17,23529360,3638434524.048025
12,18,23529312,3565616978.651102
12,19,23528688,3661345023.971545
12,20,23528640,9409093699.16237
12,21,23528736,3658787013.697581
12,22,23528736,3487186458.038624
12,23,23528448,3657575831.282287
12,24,23528448,8998901043.27355
12,25,23528400,3395083643.070838
12,26,23528544,3322819949.590205
12,27,23528880,3259710045.988776
12,28,23529408,11791829164.557491
12,29,23528976,3360421003.516078
12,30,23528160,3315157002.92963
12,31,23528256,3684382444.906407
12,32,23528448,9135624577.557354
13,1,23529376,2903289567.321297
13,2,23529376,2881737676.099818
13,3,23529324,2894887751.073287
13,4,23529376,8391976428.253985
13,5,23529220,3065423254.693656
13,6,23529168,3002587306.44207
13,7,23529324,3255672674.443967
13,8,23529376,8390019651.940951
13,9,23529168,3302803403.045963
13,10,23528960,3381137673.921111
13,11,23529220,3098805520.652746
13,12,23529168,8638978189.21537
13,13,23528856,3314393607.154674
13,14,23528960,3764674418.548322
13,15,23528700,3713615491.326112
13,16,23528960,8723488802.877254
13,17,23528544,3645802582.751561
13,18,23529168,3828808805.965872
13,19,23529220,3675095142.180438
13,20,23528960,8839231292.67323
13,21,23529324,3650083395.477522
13,22,23528648,3525215323.676736
13,23,23528908,3510104487.225446
13,24,23528544,9124449313.655025
13,25,23528700,3415973937.989403
13,26,23528856,3315137766.859887
13,27,23528232,3306387034.355521
13,28,23528960,9019814476.425903
13,29,23529324,3313687154.763369
13,30,23527920,4214853826.406808
13,31,23528752,3726738061.103942
13,32,23528960,9006829805.121418
14,1,23529408,3065185062.995982
14,2,23529408,3049256029.73927
14,3,23529408,3069921512.783298
14,4,23529408,11714631341.171434
14,5,23529240,3173375625.440398
