stride,portion,array_size,throughput
1,1,23529411,1435692135.948233
1,2,23529410,2611058606.891561
1,3,23529411,3528476638.11129
1,4,23529408,3432521680.508932
1,5,23529410,3681709467.113344
1,6,23529408,3611685779.31022
1,7,23529408,3613963099.277251
1,8,23529408,3539809747.323627
1,9,23529411,3612020142.61963
1,10,23529410,3611854187.417647
1,11,23529407,3621834415.045889
1,12,23529408,3677912047.836284
1,13,23529402,3644836327.354436
1,14,23529408,3659065352.674936
1,15,23529405,3651340173.146352
1,16,23529408,3570693506.309203
1,17,23529411,3654576107.108269
1,18,23529402,3672166537.345117
1,19,23529410,3678858770.701392
1,20,23529400,3696602029.764212
1,21,23529408,3665704075.520139
1,22,23529396,3674754522.602374
1,23,23529391,3674431844.402876
1,24,23529408,3698751173.833704
1,25,23529400,3671882878.263918
1,26,23529402,3682600792.912621
1,27,23529393,3677218983.929483
1,28,23529408,3702889040.186339
1,29,23529411,3681248373.634551
1,30,23529390,3687072637.76892
1,31,23529403,3679611051.602442
1,32,23529408,3701922502.89178
2,1,23529410,3053765524.748418
2,2,23529408,3639820338.890816
2,3,23529408,3643936563.465818
2,4,23529408,3678976572.114702
2,5,23529410,3655344037.892943
2,6,23529408,3701518130.499288
2,7,23529408,3687511309.562252
2,8,23529408,3684651633.530942
2,9,23529402,3673318290.43947
2,10,23529400,3658610630.318816
2,11,23529396,3696195087.300153
2,12,23529408,3677511002.374307
2,13,23529402,3661968420.312829
2,14,23529408,3655908357.806798
2,15,23529390,3679665722.829894
2,16,23529408,3706237813.767239
2,17,23529394,3668051614.553622
2,18,23529384,3668908598.136113
2,19,23529410,3664961733.732762
2,20,23529400,3676472213.357642
2,21,23529408,3694630859.557678
2,22,23529396,3680900980.488823
2,23,23529368,3665697754.888392
2,24,23529408,3676789082.381269
2,25,23529400,3670535266.57963
2,26,23529376,3666586496.478656
2,27,23529366,3667558193.877309
2,28,23529408,3686991056.435945
2,29,23529382,3671450734.301473
2,30,23529360,3689290847.460979
2,31,23529372,3675089664.974356
2,32,23529408,3710009098.960639
3,1,23529411,3227592058.253072
3,2,23529408,3624566838.394319
3,3,23529411,3583309567.485761
3,4,23529408,3681594020.113851
3,5,23529405,3649617647.790339
3,6,23529402,3655369365.531494
3,7,23529408,3630861733.776823
3,8,23529408,3636953509.742324
3,9,23529393,3638919775.323907
3,10,23529390,3675552817.08499
3,11,23529396,3668824101.884138
3,12,23529384,3650345175.019097
3,13,23529402,3653270500.132513
3,14,23529408,3651968628.508879
3,15,23529375,3693638964.517408
3,16,23529408,3666532772.935882
3,17,23529411,3661034882.241578
3,18,23529366,3684585935.732186
3,19,23529372,3664357127.198338
3,20,23529360,3663613955.171576
3,21,23529366,3669698392.868487
3,22,23529396,3645821966.143622
3,23,23529345,3665355760.360694
3,24,23529384,3681818962.167373
3,25,23529375,3666025814.920642
3,26,23529402,3664649577.829152
3,27,23529366,3682880831.06605
3,28,23529408,3673717328.786437
3,29,23529411,3663064551.87766
3,30,23529330,3657150417.117735
3,31,23529372,3653290692.929143
3,32,23529408,3680098844.681695
4,1,23529408,3083360673.14255
4,2,23529408,3311977731.72593
4,3,23529408,3386388196.847477
4,4,23529408,3422236629.107232
4,5,23529400,3425636390.920976
4,6,23529408,3437312357.107213
4,7,23529408,3436995079.005029
4,8,23529408,3435955164.400469
4,9,23529384,3483438937.081403
4,10,23529400,3468550245.052073
4,11,23529396,3481923589.25903
4,12,23529408,3464645610.066628
4,13,23529376,3520836926.456213
4,14,23529408,3462195704.611163
4,15,23529360,3510224747.016397
4,16,23529408,3515477364.806022
4,17,23529360,3499291831.714284
4,18,23529384,3508237358.335195
4,19,23529372,3525274216.237219
4,20,23529360,3547376007.721986
4,21,23529408,3523837487.173751
4,22,23529352,3548125819.572151
4,23,23529368,3513315927.273399
4,24,23529408,3505004407.371716
4,25,23529400,3499787355.079455
4,26,23529376,3531221029.203276
4,27,23529312,3565321908.820151
4,28,23529408,3519685524.101064
4,29,23529324,3545151871.86271
4,30,23529360,3517780002.827255
4,31,23529372,3541936646.630042
4,32,23529344,3578777934.234293
5,1,23529410,3105497351.180016
5,2,23529410,3336489664.007793
5,3,23529405,3459141367.506957
5,4,23529400,3473619773.753354
5,5,23529400,3498772306.026507
5,6,23529390,3502867404.102098
5,7,23529380,3554502852.8221
5,8,23529400,3536293346.368939
5,9,23529375,3539889639.607396
5,10,23529400,3549893363.395129
5,11,23529385,3575951220.387726
5,12,23529360,3538093814.453177
5,13,23529350,3548475471.871568
5,14,23529380,3550162301.507522
5,15,23529375,3537952515.154945
5,16,23529360,3567144614.935736
5,17,23529360,3519568806.217644
5,18,23529330,3563926016.15574
5,19,23529410,3573330759.643653
5,20,23529400,3546498947.63519
5,21,23529345,3566033829.891646
5,22,23529330,3534870497.898016
5,23,23529345,3566542475.441651
5,24,23529360,3560771052.416404
5,25,23529375,3580224020.414351
5,26,23529350,3545452691.674437
5,27,23529285,3531184455.645597
5,28,23529380,3560611530.361366
5,29,23529295,3525390266.837701
5,30,23529300,3531471771.596494
5,31,23529310,3570677131.066161
5,32,23529280,3577708266.787116
6,1,23529408,3005552480.850667
6,2,23529408,3361513799.213624
6,3,23529402,3455638445.38436
6,4,23529408,3479884739.269456
6,5,23529390,3520476151.59071
6,6,23529384,3537061261.342603
6,7,23529408,3530693730.350621
6,8,23529408,3557276282.966863
6,9,23529366,3564247004.680845
6,10,23529360,3582895941.992659
6,11,23529396,3570689771.522405
6,12,23529384,3610359117.351359
6,13,23529402,3575987374.547304
6,14,23529408,3581207909.533735
6,15,23529330,3573009871.380313
6,16,23529408,3600447856.404958
6,17,23529360,3611160434.99373
6,18,23529312,3573635454.194883
6,19,23529372,3612960398.496482
6,20,23529360,3591862520.978309
6,21,23529366,3592607857.854827
6,22,23529396,3618182793.52766
6,23,23529276,3553523401.615079
6,24,23529312,3584820304.184888
6,25,23529300,3570349608.982861
6,26,23529324,3588238780.438958
6,27,23529366,3595784635.547044
6,28,23529408,3614656486.013663
6,29,23529324,3575757947.059322
6,30,23529240,3475980289.5245
6,31,23529372,3619851045.656117
6,32,23529408,3632038260.417007
7,1,23529408,3073575264.941901
7,2,23529408,3279938310.530344
7,3,23529408,3375643455.777754
7,4,23529408,3451677958.500188
7,5,23529380,3512119572.912782
7,6,23529408,3489280207.542745
7,7,23529408,3501635942.856283
7,8,23529408,3548486252.015547
7,9,23529366,3534430559.665939
7,10,23529380,3544809950.969003
7,11,23529352,3562952783.54581
7,12,23529408,3547489165.868499
7,13,23529324,3563730272.043057
7,14,23529408,3553276780.065038
7,15,23529345,3585618902.094414
7,16,23529408,3612554453.657664
7,17,23529394,3600882594.725805
7,18,23529366,3589800160.321038
7,19,23529296,3586954216.150634
7,20,23529380,3607756704.889544
7,21,23529408,3610831374.505461
7,22,23529352,3582485636.949885
7,23,23529345,3584498530.497079
7,24,23529408,3614268635.915479
7,25,23529275,3550606535.974449
7,26,23529324,3590572558.554537
7,27,23529366,3585679547.154105
7,28,23529408,3597938578.434762
7,29,23529324,3586870528.245465
7,30,23529240,3562913013.571352
7,31,23529310,3571928591.268356
7,32,23529408,3644105730.702001
8,1,23529408,2940424145.678001
8,2,23529408,3241684146.089998
8,3,23529408,3318606670.893901
8,4,23529408,3365772507.26323
8,5,23529400,3392462308.176415
8,6,23529408,3420183955.665687
8,7,23529408,3406631573.725975
8,8,23529408,3430694703.463914
8,9,23529384,3477928393.366278
8,10,23529360,3487131649.443694
8,11,23529352,3485963404.51404
8,12,23529408,3468627472.542657
8,13,23529376,3489794753.742873
8,14,23529408,3503651850.333925
8,15,23529360,3473028389.21397
8,16,23529344,3496505021.167914
8,17,23529360,3502863834.366702
8,18,23529312,3524939607.400796
8,19,23529296,3539073537.088073
8,20,23529280,3507752649.5594
8,21,23529408,3487186577.445178
8,22,23529264,3536512463.850576
8,23,23529368,3539057295.651731
8,24,23529408,3517316077.049747
8,25,23529400,3508402351.865977
8,26,23529376,3535014079.048857
8,27,23529312,3528242622.546089
8,28,23529408,3525007905.580736
8,29,23529208,3502792055.148817
8,30,23529360,3537032378.693101
8,31,23529248,3518875897.728841
8,32,23529216,3572920061.833428
9,1,23529411,1477921079.603623
9,2,23529402,1508310524.682822
9,3,23529393,3158115581.056208
9,4,23529384,1460744579.483221
9,5,23529375,3109822913.227235
9,6,23529366,3249766726.787167
9,7,23529366,3265976966.525877
9,8,23529384,1527464688.901687
9,9,23529366,3291563298.73756
9,10,23529330,3315502735.92937
9,11,23529330,3336406752.934937
9,12,23529312,1547484539.007061
9,13,23529402,3312910443.843794
9,14,23529366,3315584304.185978
9,15,23529285,3286491274.579451
9,16,23529312,1560745083.567141
9,17,23529411,3242016349.04885
9,18,23529366,3285538303.799066
9,19,23529258,3390409692.640556
9,20,23529240,3338619089.836861
9,21,23529366,3339016252.35489
9,22,23529330,3359990055.345603
9,23,23529276,3370671896.384077
9,24,23529312,3363709770.090756
9,25,23529375,3334767596.593116
9,26,23529402,3324606387.560953
9,27,23529204,3404676410.777332
9,28,23529240,3377703579.579076
9,29,23529411,3326183887.049424
9,30,23529150,3395463427.231266
9,31,23529186,3414978164.450225
9,32,23529312,3423399817.290058
10,1,23529410,1822841546.582532
10,2,23529400,1820150436.735194
10,3,23529390,3106671895.147999
10,4,23529400,1856264468.962469
10,5,23529400,3130435213.500885
10,6,23529360,1882109592.226962
10,7,23529380,3188612864.26632
10,8,23529360,1888373689.494585
10,9,23529330,3108012507.996521
10,10,23529400,3213656198.134002
10,11,23529330,3192024825.138918
10,12,23529360,3204365254.25472
10,13,23529350,3222783510.299223
10,14,23529380,3230023434.991482
10,15,23529300,3201592356.399854
10,16,23529280,1884420641.53118
10,17,23529360,3228209155.560685
10,18,23529240,3217876336.149165
10,19,23529410,3258471653.714185
10,20,23529400,3238015080.713205
10,21,23529240,3272496066.004381
10,22,23529220,3252994967.640909
10,23,23529230,3247281990.693407
10,24,23529360,3230710901.431132
10,25,23529250,3267272292.461959
10,26,23529220,3278785960.195546
10,27,23529150,3259616880.782144
10,28,23529240,3277533455.968846
10,29,23529150,3250991211.844214
10,30,23529300,3258209423.141442
10,31,23529310,3261401532.545051
10,32,23529280,3301409717.25567
11,1,23529407,2055234281.224236
11,2,23529396,2050489682.058285
11,3,23529396,2135369278.851795
11,4,23529396,2097859313.770702
11,5,23529385,2949509241.953424
11,6,23529396,2987273721.357694
11,7,23529352,2112973678.606308
11,8,23529352,2092580960.657357
11,9,23529330,3066137058.745422
11,10,23529330,3101763327.088298
11,11,23529297,3150732618.681884
11,12,23529396,3079150918.18394
11,13,23529363,3098889554.435104
11,14,23529352,3001310976.78077
11,15,23529330,3084198582.226054
11,16,23529264,2102108596.107684
11,17,23529275,2986730506.596924
11,18,23529330,3106436751.969512
11,19,23529220,3155049375.025739
11,20,23529220,3164701203.78902
11,21,23529198,3171864777.238774
11,22,23529176,3130359114.876004
11,23,23529253,3137298159.560221
11,24,23529264,3140208795.152315
11,25,23529275,3175857293.554345
11,26,23529220,3167006358.176935
11,27,23529231,3171292019.42291
11,28,23529352,3152509541.790758
11,29,23529121,3123753201.575202
11,30,23529330,3163036093.405549
11,31,23529341,3160531934.608862
11,32,23529088,3207852999.844287
12,1,23529408,1848967500.514818
12,2,23529408,2156146926.387746
12,3,23529384,2593306527.873511
12,4,23529408,2339955227.390729
12,5,23529360,2903791283.27783
12,6,23529384,2821688826.010255
12,7,23529408,2415882171.234683
12,8,23529408,2341467884.598214
12,9,23529312,2915544637.975254
12,10,23529360,2970320256.780229
12,11,23529396,2818328363.984697
12,12,23529312,2989601517.585494
12,13,23529324,3047625375.776753
12,14,23529408,2343057230.113231
12,15,23529240,2949877365.710877
12,16,23529408,2362642981.444669
12,17,23529360,2953115604.889232
12,18,23529312,2979112926.683936
12,19,23529372,3040503917.089022
12,20,23529360,3021024029.609516
12,21,23529240,2989056704.094204
12,22,23529264,3012981040.410368
12,23,23529276,3037179149.97502
12,24,23529312,3042216253.671975
12,25,23529300,3061681686.704794
12,26,23529168,3026761382.324994
12,27,23529204,3020814495.56464
12,28,23529408,2927550749.253704
12,29,23529324,3019542766.722641
12,30,23529240,3003345707.992749
12,31,23529372,3054716579.989184
12,32,23529216,3058430252.002488
13,1,23529402,2416472570.5887
13,2,23529402,2326146647.094295
13,3,23529402,2760731894.830644
13,4,23529376,2409257711.407024
13,5,23529350,2764213966.886512
13,6,23529402,2877899617.249942
13,7,23529324,2852645404.059927
13,8,23529376,2457205100.672645
13,9,23529402,2948216739.835406
13,10,23529350,2888408608.639564
13,11,23529363,2801020043.594806
13,12,23529324,2903242518.093016
13,13,23529363,2885162425.164779
13,14,23529324,2924060682.775681
13,15,23529285,2860949449.396948
13,16,23529376,2486677934.170762
13,17,23529207,2802698493.247045
13,18,23529402,2910345112.253501
13,19,23529220,2902109361.833177
13,20,23529220,2895426666.098692
13,21,23529324,2979170003.215341
13,22,23529220,2926303766.898321
13,23,23529207,2938914665.457876
13,24,23529168,2885517044.144175
13,25,23529350,2989582353.734335
13,26,23529194,2933726751.443991
13,27,23529285,2957711301.742064
13,28,23529324,2966573262.19969
13,29,23529324,2969381206.175409
13,30,23529090,2910432622.832361
13,31,23529155,2933795762.943347
13,32,23529376,294649619.771159
14,1,23529408,2146032493.812527
14,2,23529408,2198651176.372
14,3,23529408,2386960255.363725
14,4,23529408,2395094726.254878
14,5,23529380,2689381285.932823
14,6,23529408,2429125104.689933
14,7,23529408,2471813807.913049
14,8,23529408,2466519327.444367
14,9,23529366,2715238764.543882
14,10,23529380,2779676445.404645
14,11,23529352,2853644094.742425
14,12,23529408,2466683379.218584
14,13,23529324,2907493395.851714
14,14,23529408,2465130706.860816
14,15,23529240,2849975233.153179
14,16,23529408,2501454221.448855
14,17,23529394,2712876387.575472
14,18,23529240,2831509097.178167
14,19,23529296,2899966081.727248
14,20,23529240,2876155673.599307
14,21,23529408,2885546744.32694
14,22,23529352,2931205695.764315
14,23,23529184,2924516813.366624
14,24,23529408,2858390065.86244
14,25,23529100,2898643214.397135
14,26,23529324,2937739740.965358
14,27,23529366,2918764415.878768
14,28,23529408,2858584898.160138
14,29,23529324,2946175577.407219
14,30,23529240,2934426449.028867
14,31,23529310,2962718049.841947
14,32,23529408,295269171.217618
15,1,23529405,2468973978.443806
15,2,23529390,2379640751.525123
15,3,23529375,2688012614.941968
15,4,23529360,2473305270.367276
15,5,23529375,2804297727.191125
15,6,23529330,2620997561.143744
15,7,23529345,2597504605.206479
15,8,23529360,2520923008.385043
15,9,23529285,2749424893.955686
15,10,23529300,2756950652.293948
15,11,23529330,2776049160.568999
15,12,23529240,2763211361.580056
15,13,23529285,2841944602.339754
15,14,23529240,2728378304.152556
15,15,23529375,2830382069.580491
15,16,23529360,2547740175.256333
15,17,23529360,2635959607.929426
15,18,23529150,2755527491.073919
15,19,23529315,2852644060.957492
15,20,23529300,2823905902.789674
15,21,23529240,2852394495.42702
15,22,23529330,2866408324.842081
15,23,23529345,2840989878.63277
15,24,23529240,2861516914.298001
15,25,23529375,2876473085.061104
15,26,23529090,2854227418.704818
15,27,23529285,2863599363.061991
15,28,23529240,2860833616.144868
15,29,23529150,2851675949.245955
15,30,23529150,2838004288.409588
15,31,23529000,2856987327.303871
15,32,23529120,294140563.483894
16,1,23529408,2463787619.781879
16,2,23529408,2311393148.092383
16,3,23529408,2402925543.130721
16,4,23529408,2385812760.579949
16,5,23529360,2553005221.417163
16,6,23529408,2426568290.504591
16,7,23529408,2461088654.413478
16,8,23529344,2443403852.318198
16,9,23529312,2593023558.429006
16,10,23529280,2599820436.714356
16,11,23529264,2688030172.270886
16,12,23529408,2524647265.847011
16,13,23529376,2642177247.161503
16,14,23529408,2541801495.521993
16,15,23529360,2609809005.376186
16,16,23529216,2485090698.814046
16,17,23529360,2498981951.36843
16,18,23529312,2549696065.641388
16,19,23529296,2617453481.382516
16,20,23529280,2622296487.846415
16,21,23529408,2585383393.172956
16,22,23529088,2627004885.411846
16,23,23529184,2635294158.87714
16,24,23529216,2626380596.475999
16,25,23529200,2672927035.890317
16,26,23529376,2646323097.7413
16,27,23529312,2662926319.11749
16,28,23529408,1698644672.734875
16,29,23528976,1368594262.349926
16,30,23529120,953565028.330769
16,31,23529248,1132503974.04135
16,32,23528960,293811236.490749
17,1,23529411,793596632.95202
17,2,23529394,1089738322.884537
17,3,23529411,1438861782.58531
17,4,23529360,1514998466.260355
17,5,23529360,1717392209.424879
17,6,23529360,1722736069.049973
17,7,23529394,1946616017.878831
17,8,23529360,1894309736.44208
17,9,23529411,2071916949.134061
17,10,23529360,1975216415.71178
17,11,23529275,2199214932.294758
17,12,23529360,2055660764.854354
17,13,23529207,2311013137.673213
17,14,23529394,2250223977.575114
17,15,23529360,2156324395.669518
17,16,23529360,2162605891.910736
17,17,23529224,2250384080.159596
17,18,23529258,2281073333.260238
17,19,23529258,2368095101.441829
17,20,23529360,2352832637.005431
17,21,23529156,2397585357.239198
17,22,23529088,2326708244.367933
17,23,23529207,2435182647.041035
17,24,23529360,2419497815.3352
17,25,23529275,2496581854.145869
17,26,23528986,1651764131.872138
17,27,23529258,1354686835.325737
17,28,23529156,1180253051.239045
17,29,23529411,761359143.586786
17,30,23529360,1246746164.70654
17,31,23528969,325562961.683817
17,32,23529088,291803256.317831
18,1,23529402,794834436.327578
18,2,23529384,1085006378.83599
18,3,23529366,1446858247.919233
18,4,23529384,1530865270.142022
18,5,23529330,1820114177.193858
18,6,23529312,1709963424.948915
18,7,23529366,1922172336.721804
18,8,23529312,1882601814.646513
18,9,23529366,2072095493.457473
18,10,23529240,2060683085.70232
18,11,23529330,2160182542.410169
18,12,23529312,2041193147.442231
18,13,23529402,2270469545.590609
18,14,23529240,2206921052.235559
18,15,23529150,2235072010.251189
18,16,23529312,2148266577.04171
18,17,23529258,2250598590.741404
18,18,23529204,275396993.406225
18,19,23529258,2364253526.593329
18,20,23529240,280195921.453258
18,21,23529366,2391894724.37441
18,22,23529132,2372749719.40602
18,23,23529276,2398548597.832278
18,24,23529312,283790862.776897
18,25,23529150,713531403.332789
18,26,23529168,735355846.885978
18,27,23529204,405567321.138015
18,28,23529240,296001115.04414
18,29,23529150,437808356.760257
18,30,23528880,368103228.189611
18,31,23529186,335468600.35864
18,32,23529024,288953911.362608
19,1,23529410,798195772.002159
19,2,23529410,1088636836.025512
19,3,23529372,1428313038.764193
19,4,23529372,1537189810.7121
19,5,23529410,1784119429.166724
19,6,23529372,1756703818.975828
19,7,23529296,1829896071.684747
19,8,23529296,1878940935.999078
19,9,23529258,2022449337.054442
19,10,23529410,2064500788.504451
19,11,23529220,2133030189.809289
19,12,23529372,2123285264.366255
19,13,23529220,2222150766.829476
19,14,23529296,2081745178.169746
19,15,23529315,2177081820.705161
19,16,23529296,268655301.59026
19,17,23529258,285918845.461304
19,18,23529258,275082443.818699
19,19,23529258,2324062662.673228
19,20,23529220,278595422.315312
19,21,23529030,308072617.3646
19,22,23529220,283028740.179577
19,23,23529391,712296459.698721
19,24,23529144,284980876.050558
19,25,23529125,320954521.254615
19,26,23529220,292782344.714649
19,27,23529258,315183334.826766
19,28,23529296,326663749.095279
19,29,23529353,312778869.92799
19,30,23529030,313800305.598177
19,31,23529372,308113472.310754
19,32,23528992,293303283.348263
20,1,23529400,794125113.399208
20,2,23529400,1079403428.657433
20,3,23529360,1428038999.747627
20,4,23529360,1524002889.642439
20,5,23529400,1737911518.290045
20,6,23529360,1738052955.110195
20,7,23529380,1879715293.594049
20,8,23529280,1840439763.978402
20,9,23529240,1995403406.696996
20,10,23529400,1700424670.197366
20,11,23529220,2076895440.492284
20,12,23529360,2067551174.852678
20,13,23529220,2117547480.981985
20,14,23529240,2118445666.890219
20,15,23529300,2101938081.886917
20,16,23529280,267933872.561923
20,17,23529360,284755350.61483
20,18,23529240,272343356.834693
20,19,23529220,1633854917.267183
20,20,23529200,278237064.864297
20,21,23529240,376587220.67425
20,22,23529000,283148310.168845
20,23,23529000,387795358.724958
20,24,23529120,284550805.113494
20,25,23529000,320672636.854852
20,26,23528960,354264597.372505
20,27,23528880,308949882.968944
20,28,23528960,335836093.367506
20,29,23528860,301916710.088535
20,30,23529000,337627806.473964
20,31,23529000,320620856.96786
20,32,23528960,291132284.78147
1,1,23529411,1433391954.589538
1,2,23529410,2608784780.398741
1,3,23529411,3531835237.169566
1,4,23529408,3436382877.170216
1,5,23529410,3687567123.055974
1,6,23529408,3616766184.803325
1,7,23529408,3616878113.120883
1,8,23529408,3543909647.49178
1,9,23529411,3616828821.426312
1,10,23529410,3615491225.74785
1,11,23529407,3621581800.678401
1,12,23529408,3679205267.816711
1,13,23529402,3650351078.885915
1,14,23529408,3664996550.247931
1,15,23529405,3653751253.992819
1,16,23529408,3567361135.004864
1,17,23529411,3658380652.585498
1,18,23529402,3672728802.672799
1,19,23529410,3681216640.718659
1,20,23529400,3699884680.384512
1,21,23529408,3669078897.262666
1,22,23529396,3681157744.538602
1,23,23529391,3681014161.851411
1,24,23529408,3699666677.271546
1,25,23529400,3676268535.629675
1,26,23529402,3684271203.532605
1,27,23529393,3678710655.086881
1,28,23529408,3705072072.650153
1,29,23529411,3682025758.981084
1,30,23529390,3689499899.371772
1,31,23529403,3683121705.489825
1,32,23529408,3703701281.94974
2,1,23529410,3060200771.058117
2,2,23529408,3636328651.574111
2,3,23529408,3641342553.804582
2,4,23529408,3675381546.890984
2,5,23529410,3654857990.154361
2,6,23529408,3700820241.307164
2,7,23529408,3681823874.959571
2,8,23529408,3677227219.028601
2,9,23529402,3666276636.677523
2,10,23529400,3655223615.334825
2,11,23529396,3696167598.206193
2,12,23529408,3676359587.473643
2,13,23529402,3663626577.96946
2,14,23529408,3655027744.852707
2,15,23529390,3676828623.43783
2,16,23529408,3706306155.602739
2,17,23529394,3670619421.198735
2,18,23529384,3670503505.428386
2,19,23529410,3662880272.115544
2,20,23529400,3674461043.940532
2,21,23529408,3696513233.728546
2,22,23529396,3680064318.666981
2,23,23529368,3664986882.70461
2,24,23529408,3672486909.602434
2,25,23529400,3668221036.10676
