stride,portion,array_size,throughput
1,1,23529411,1592133933.798761
1,2,23529410,2318465583.194134
1,3,23529411,2730438461.181977
1,4,23529408,3183005842.481511
1,5,23529410,3186324346.388809
1,6,23529408,3186237847.902831
1,7,23529408,3429143220.163458
1,8,23529408,3635768676.256124
1,9,23529411,3579245495.832652
1,10,23529410,3536902445.647038
1,11,23529407,3683753125.468159
1,12,23529408,3813488937.023745
1,13,23529402,3760883489.848645
1,14,23529408,3713284305.686276
1,15,23529405,3816766352.471797
1,16,23529408,3915890272.440646
1,17,23529411,3860668075.165311
1,18,23529402,3817167935.738645
1,19,23529410,3897244799.77484
1,20,23529400,3966354867.386136
1,21,23529408,3928115544.755646
1,22,23529396,3888033283.174634
1,23,23529391,3949749223.56471
1,24,23529408,4014880635.588399
1,25,23529400,3973688421.210353
1,26,23529402,3937910389.889416
1,27,23529393,3991720795.501914
1,28,23529408,4043166580.483739
1,29,23529411,4006987026.727997
1,30,23529390,3976373469.087363
1,31,23529403,4020952485.751142
1,32,23529408,4069635087.581023
2,1,23529410,1564353951.952353
2,2,23529408,1172088296.130123
2,3,23529408,1590014311.378769
2,4,23529408,880378141.911897
2,5,23529410,1606622143.122767
2,6,23529408,1711586853.478303
2,7,23529408,1561026824.946517
2,8,23529408,661242916.145421
2,9,23529402,1423074716.934525
2,10,23529400,713999035.221707
2,11,23529396,1210868063.505048
2,12,23529408,775770221.589764
2,13,23529402,842207047.826996
2,14,23529408,828315828.542253
2,15,23529390,860239221.438778
2,16,23529408,3987562962.128064
2,17,23529394,879415252.885318
2,18,23529384,889149543.299333
2,19,23529410,854339815.123179
2,20,23529400,1147522330.325963
2,21,23529408,768135446.041164
2,22,23529396,965283006.442592
2,23,23529368,759299723.357656
2,24,23529408,1374734903.212251
2,25,23529400,860000812.10933
2,26,23529376,1066925233.664016
2,27,23529366,840447140.642899
2,28,23529408,1214979296.932217
2,29,23529382,862202788.421494
2,30,23529360,962840341.386396
2,31,23529372,937604704.202293
2,32,23529408,4106319537.710348
3,1,23529411,695960824.015406
3,2,23529408,1387290843.964806
3,3,23529411,1353507260.30765
3,4,23529408,772710616.044329
3,5,23529405,1754845925.673698
3,6,23529402,1753197060.82659
3,7,23529408,1700884596.517777
3,8,23529408,669155744.236688
3,9,23529393,1721430819.296087
3,10,23529390,1666534805.357075
3,11,23529396,1666140419.181578
3,12,23529384,1530759783.046387
3,13,23529402,1780872950.50688
3,14,23529408,1797510153.460288
3,15,23529375,1769716240.520315
3,16,23529408,4012279851.115057
3,17,23529411,1497331206.141579
3,18,23529366,755010339.436389
3,19,23529372,1414257484.632653
3,20,23529360,1269579436.8715
3,21,23529366,770873466.332468
3,22,23529396,952792410.622541
3,23,23529345,856154569.223201
3,24,23529384,1676162959.469121
3,25,23529375,863287601.785841
3,26,23529402,1035376754.151695
3,27,23529366,970955917.341621
3,28,23529408,1369864752.427588
3,29,23529411,821443674.904434
3,30,23529330,1100697388.157623
3,31,23529372,1042605887.631409
3,32,23529408,4121785316.886429
4,1,23529408,1072464542.724656
4,2,23529408,1583637491.210607
4,3,23529408,1562740961.039118
4,4,23529408,1472033625.89627
4,5,23529400,1639450400.061615
4,6,23529408,1390293254.317036
4,7,23529408,1038244994.98723
4,8,23529408,1306731210.177108
4,9,23529384,1559796050.625927
4,10,23529400,1477274849.775223
4,11,23529396,1609101192.140792
4,12,23529408,1304472272.81026
4,13,23529376,1678666874.337775
4,14,23529408,1446806828.046773
4,15,23529360,1643161011.498859
4,16,23529408,4061524204.359023
4,17,23529360,1677174963.325917
4,18,23529384,839119943.590593
4,19,23529372,993397927.695291
4,20,23529360,1249932941.544505
4,21,23529408,883123947.11124
4,22,23529352,981309690.586075
4,23,23529368,932916567.158438
4,24,23529408,1863117935.658029
4,25,23529400,1016283467.00658
4,26,23529376,1129710384.519302
4,27,23529312,1018673153.302991
4,28,23529408,1604416679.115846
4,29,23529324,1037750185.533083
4,30,23529360,1188402609.54803
4,31,23529372,1148485756.00603
4,32,23529344,4143002937.321712
5,1,23529410,1311797821.874422
5,2,23529410,1660512213.788784
5,3,23529405,1693105449.598678
5,4,23529400,1749544626.39477
5,5,23529400,1696688778.17363
5,6,23529390,1752200480.630513
5,7,23529380,1719530846.775301
5,8,23529400,1812037501.529701
5,9,23529375,1427539850.36623
5,10,23529400,1744678114.568433
5,11,23529385,1396111294.523015
5,12,23529360,1666825565.377293
5,13,23529350,1747092758.164551
5,14,23529380,1748418174.094966
5,15,23529375,1765434449.486736
5,16,23529360,4066217385.061132
5,17,23529360,1249276733.808426
5,18,23529330,826122578.603476
5,19,23529410,679064180.04235
5,20,23529400,1294930267.811719
5,21,23529345,740888407.577938
5,22,23529330,993957020.270817
5,23,23529345,829313908.874448
