stride,portion,array_size,throughput
1,1,23529408,7144799874.94298
1,2,23529408,7210370283.698463
1,3,23529408,7192567792.054405
1,4,23529408,7186312662.846533
1,5,23529400,7177092065.337771
1,6,23529408,7211979301.430433
1,7,23529408,7171345443.37483
1,8,23529408,7186186623.614758
1,9,23529384,7207798521.4135
1,10,23529360,7189068519.714767
1,11,23529352,7178371968.324516
1,12,23529408,7193839173.530462
1,13,23529376,7222197989.849638
1,14,23529408,6716046822.07113
1,15,23529360,7184074052.107416
1,16,23529344,7149552190.739481
1,17,23529360,7148666906.030362
1,18,23529312,7156892888.354126
1,19,23529296,7141735087.005239
1,20,23529280,7169107713.958087
1,21,23529408,7172054705.493376
1,22,23529264,7183092304.045733
1,23,23529368,7176471599.269699
1,24,23529408,7164672357.783842
1,25,23529400,7169403565.342184
1,26,23529376,7165557087.81973
1,27,23529312,7157506246.357758
1,28,23529408,7172783070.633234
1,29,23529208,7168518601.361377
1,30,23529360,7167650257.616991
1,31,23529248,7181597623.406075
1,32,23529216,6771387720.723664
2,1,23529408,4662518380.905744
2,2,23529408,4544447313.953004
2,3,23529408,4675562584.867634
2,4,23529408,4634148760.182113
2,5,23529360,5271202939.35409
2,6,23529408,4620767039.778745
2,7,23529408,4834809023.399524
2,8,23529344,6863831680.516245
2,9,23529312,6932365116.736217
2,10,23529280,6925836885.091214
2,11,23529264,6904099825.753805
2,12,23529408,6938806930.162363
2,13,23529376,6945051976.385958
2,14,23529408,6908075541.91508
2,15,23529360,6890655505.372187
2,16,23529216,6935645744.475426
2,17,23529360,6898522822.450968
2,18,23529312,6923167077.139267
2,19,23529296,6924000876.029657
2,20,23529280,6949850422.690821
2,21,23529408,6910434732.168734
2,22,23529088,6791514843.83771
2,23,23529184,6860936068.511096
2,24,23529216,6902716276.311342
2,25,23529200,6892528848.82845
2,26,23529376,6848885149.875298
2,27,23529312,6877670345.730799
2,28,23529408,6852860858.238775
2,29,23528976,6791201255.008529
2,30,23529120,6828908747.653451
2,31,23529248,6912033140.688794
2,32,23528960,6788171934.47706
3,1,23529408,6569433187.417434
3,2,23529408,6594208833.109114
3,3,23529384,6700039519.971278
3,4,23529408,6645169167.054266
3,5,23529360,6667947098.480888
3,6,23529312,6721654654.285802
3,7,23529408,6680507658.078362
3,8,23529408,6645711103.135167
3,9,23529312,6734676948.833653
3,10,23529360,6715153571.043449
3,11,23529264,6747326065.546397
3,12,23529312,6726732705.100818
3,13,23529168,6570130018.341748
3,14,23529408,6706373805.940827
3,15,23529240,6648295303.073202
3,16,23529216,6705045952.453196
3,17,23529360,6750274524.645187
3,18,23529312,6729596717.813451
3,19,23529144,6646362969.812423
3,20,23529120,6701463983.049398
3,21,23529240,6556412016.569538
3,22,23529264,6671523174.397657
3,23,23529000,6705475121.235615
3,24,23529024,6732546303.754506
3,25,23529000,6552065729.529768
3,26,23529168,6674803151.168274
3,27,23528880,6695683486.754216
3,28,23529408,6734715052.638749
