stride,portion,array_size,throughput
1,1,23529408,6631276813.160532
1,2,23529408,7101852946.153938
1,3,23529408,7090294597.466646
1,4,23529408,7130921135.264328
1,5,23529400,7109888218.193815
1,6,23529408,7086517099.990423
1,7,23529408,7080547657.110379
1,8,23529408,7103976220.560898
1,9,23529384,7098972484.601506
1,10,23529360,7108805610.174105
1,11,23529352,7105682367.990082
1,12,23529408,7095682521.071088
1,13,23529376,7106227988.641985
1,14,23529408,7092764959.33376
1,15,23529360,7087163344.999144
1,16,23529344,7114809061.610411
1,17,23529360,7071574376.612207
1,18,23529312,7097425331.357817
1,19,23529296,7084926827.514005
1,20,23529280,7091964768.421656
1,21,23529408,7069106251.912651
1,22,23529264,7067490939.466655
1,23,23529368,7064308325.717825
1,24,23529408,7082701677.956358
1,25,23529400,7054843966.595732
1,26,23529376,7070904945.135602
1,27,23529312,7074311856.355388
1,28,23529408,7076530637.561089
1,29,23529208,7075719840.831723
1,30,23529360,7066133125.237238
1,31,23529248,7059279514.683133
1,32,23529216,7080000968.317294
2,1,23529408,659448227.063467
2,2,23529408,6862627286.21946
2,3,23529408,1376435541.609291
2,4,23529408,6873262711.037592
2,5,23529360,1971582695.235273
2,6,23529408,6866659284.681094
2,7,23529408,2411529084.101935
2,8,23529344,6894256601.687271
2,9,23529312,3042636128.118387
2,10,23529280,6898847660.031372
2,11,23529264,3521116153.688567
2,12,23529408,6916984273.263675
2,13,23529376,3774181741.028947
2,14,23529408,6894314668.36543
2,15,23529360,4237310504.284583
2,16,23529216,6901487899.293169
2,17,23529360,4232204202.681574
2,18,23529312,6917431113.275238
2,19,23529296,4834755257.644677
2,20,23529280,6895409949.45621
2,21,23529408,4926233114.142532
2,22,23529088,6903615907.13932
2,23,23529184,5180872992.559101
2,24,23529216,6890296548.35965
2,25,23529200,5301162004.382326
2,26,23529376,6899775232.509478
2,27,23529312,5413581286.64666
2,28,23529408,6919101710.143888
2,29,23528976,5408277019.332716
2,30,23529120,6900468465.478531
2,31,23529248,5511654312.092604
2,32,23528960,6883551827.454042
3,1,23529408,669463761.918574
3,2,23529408,6828461953.013883
3,3,23529384,1679021706.405768
3,4,23529408,6822915507.587585
3,5,23529360,2392789665.135743
3,6,23529312,6846425255.832659
3,7,23529408,2912452175.393058
3,8,23529408,6848853726.805626
3,9,23529312,3385366484.107587
3,10,23529360,6861684290.155482
3,11,23529264,3996683006.822072
3,12,23529312,6866932782.353524
3,13,23529168,4477406437.789492
3,14,23529408,6866291592.946767
3,15,23529240,4781540241.651388
3,16,23529216,6874295139.226512
3,17,23529360,5091393961.188898
3,18,23529312,6879415584.522589
3,19,23529144,5562458543.887845
3,20,23529120,6869387689.412323
3,21,23529240,5501471868.346102
3,22,23529264,6877745370.015117
3,23,23529000,5610230491.225575
3,24,23529024,6873326160.486931
3,25,23529000,5160775057.852428
3,26,23529168,6864533456.872296
3,27,23528880,5104377433.810341
3,28,23529408,6875882169.264023
3,29,23528976,5148685711.532433
3,30,23528880,6879099276.415777
3,31,23529000,5735704492.261829
3,32,23529216,6919174406.191507
4,1,23529408,809100414.387764
4,2,23529408,6790312034.022461
4,3,23529408,1866724542.266011
4,4,23529344,6791796118.587234
4,5,23529280,2655090824.265953
4,6,23529408,6801651072.274498
4,7,23529408,3236930870.660187
4,8,23529216,6823759975.315961
4,9,23529312,3771630162.040259
4,10,23529280,6848103053.524714
4,11,23529088,3828517380.278279
4,12,23529216,6847185980.34228
4,13,23529376,4423813177.066603
4,14,23529408,6860636198.527967
4,15,23529120,5122000607.7954
4,16,23528960,6819856375.410493
4,17,23529088,4666295504.750847
4,18,23529024,6813804031.251959
4,19,23528992,5220313297.783603
4,20,23528960,6802661086.064896
4,21,23529408,5453249640.120308
4,22,23529088,6814020135.30713
4,23,23529184,5540849314.861711
4,24,23529216,6838911624.311803
4,25,23528800,5482343497.000566
4,26,23528960,6805740892.411901
4,27,23529312,5712941272.766686
4,28,23528960,6800117471.474852
4,29,23528512,5825982862.795028
4,30,23528640,6779322345.072832
4,31,23529248,5937931901.891718
4,32,23528448,6801454817.965426
5,1,23529400,1810578132.331259
5,2,23529360,6708723052.667504
5,3,23529360,2028559313.257079
5,4,23529280,6786545082.655382
5,5,23529400,2816509517.838326
5,6,23529360,6815507077.868675
5,7,23529240,3838000205.861534
5,8,23529280,6848113724.663803
5,9,23529240,4140868244.27492
5,10,23529200,6848593615.484706
5,11,23529000,4346276640.850328
5,12,23529120,6855838733.033083
5,13,23528960,4066041356.576491
5,14,23528960,6849988752.89913
5,15,23529000,5028749913.031202
5,16,23528960,6839025827.960175
5,17,23529360,5160570701.75944
5,18,23528880,6832776906.443434
5,19,23528840,5564480565.860631
5,20,23528800,6834936957.400802
5,21,23529240,5656820823.770119
5,22,23528560,6820685362.408735
5,23,23529000,5636703879.429881
5,24,23528640,6815293166.673394
5,25,23529000,5461449318.10253
5,26,23528960,6828999627.178708
5,27,23528880,5800935546.963192
5,28,23528960,6814211723.162978
5,29,23528280,5943820387.713684
5,30,23528400,6818683502.185878
5,31,23529000,5902688518.112239
5,32,23528960,6842666221.319414
6,1,23529408,1466467222.569038
6,2,23529408,6683081985.724569
6,3,23529312,2202387286.237781
6,4,23529408,6754309391.133377
6,5,23529360,2830872400.686479
6,6,23529312,6777899167.543365
6,7,23529408,3136125768.616043
6,8,23529216,6800854102.792588
6,9,23529312,3776083435.373824
6,10,23529120,6797220573.174595
6,11,23529264,4492890727.886756
6,12,23529024,6825363690.589905
6,13,23529168,4829468784.08145
6,14,23529408,6793189653.32287
6,15,23528880,5155043852.981188
6,16,23529216,6798749544.913027
6,17,23529360,5352877287.654735
6,18,23529312,6810180326.069712
6,19,23528688,5443184387.139193
6,20,23528640,6801489477.579457
6,21,23528736,5365107662.071198
6,22,23528736,6810382978.776026
6,23,23528448,5349320911.62777
6,24,23528448,6804092201.570349
6,25,23528400,5800960436.777181
6,26,23528544,6797060367.568463
6,27,23528880,5878620624.437174
6,28,23529408,6786511465.056059
6,29,23528976,5963724687.961283
6,30,23528160,6809917866.989571
6,31,23528256,5739299596.282873
6,32,23528448,6843306177.884806
7,1,23529408,1490748954.129825
7,2,23529408,6641573479.751407
7,3,23529408,1925445440.918826
7,4,23529408,6713822793.364215
7,5,23529240,2860054777.628998
7,6,23529408,6727382345.562396
7,7,23529408,3170972932.039136
7,8,23529408,6783314649.659285
7,9,23529240,4107435964.210215
7,10,23528960,6766510099.407692
7,11,23529352,4456444271.585745
7,12,23529408,6793404459.069203
7,13,23528960,4038893009.237967
7,14,23529408,6788778655.796035
7,15,23529240,5328971951.444738
7,16,23528960,6809142299.475308
7,17,23528680,5455554569.041691
7,18,23528736,6771887088.570226
7,19,23529296,5024586413.618179
7,20,23528960,6789426690.902173
7,21,23529408,5045169416.336671
7,22,23528736,6780672884.498617
7,23,23529184,5327746620.436351
7,24,23529408,6788267052.679998
7,25,23528400,5710098552.15704
7,26,23528960,6793261012.92346
7,27,23528232,5723034517.041196
7,28,23529408,6800543787.168303
7,29,23528512,5617428118.580253
7,30,23528400,6790524310.966855
7,31,23528008,5887302105.407389
7,32,23528960,6818276916.638783
8,1,23529408,1503743511.261492
8,2,23529344,6596960865.794213
8,3,23529408,2167680120.651537
8,4,23529216,6645372470.633268
8,5,23529280,2903505295.588481
8,6,23529216,6647349294.304348
8,7,23529408,3414438573.967924
8,8,23528960,6684040973.978484
8,9,23529024,3903435674.195181
8,10,23528960,6655950665.432878
8,11,23529088,4013326401.430911
8,12,23529216,6724037589.07913
8,13,23528960,4022697818.838777
8,14,23528960,6695634938.551079
8,15,23528640,4614409445.232567
8,16,23528448,6663506329.688323
8,17,23529088,5179865722.730066
8,18,23528448,6601463001.978806
8,19,23528384,4450151262.39748
8,20,23528960,6709226480.745536
8,21,23529408,5604510323.750881
8,22,23529088,6719688459.183111
8,23,23528448,4475690113.720984
8,24,23528448,6651485415.867548
8,25,23528000,5586015311.17928
8,26,23528960,6672545968.036551
8,27,23528448,4997611776.126818
8,28,23528960,6693637326.237646
8,29,23528512,5568687059.409106
8,30,23527680,6698664066.473989
8,31,23528256,5880397903.594309
8,32,23527424,6714551790.818011
9,1,23529384,1501250047.421431
9,2,23529312,6581618300.605336
9,3,23529312,1915966430.851859
9,4,23529312,6654923810.845245
9,5,23529240,2719028139.102656
9,6,23529312,6649159904.379085
9,7,23529240,3831595476.935962
9,8,23529024,6722459405.358588
9,9,23528880,2400490455.831789
9,10,23528880,6646674652.585841
9,11,23528736,2883689560.204088
9,12,23529312,6750878461.284929
9,13,23529168,3181209805.766042
9,14,23528736,6730990594.376434
9,15,23528880,3675211394.497433
9,16,23528448,6775861514.277605
9,17,23528952,4705791138.470591
